method,N,gpu_stream_ms_mean,gpu_stream_ms_std,e2e_ms_mean,e2e_ms_std,raw_throughput,strict_sr,medium_sr,loose_sr,valid_throughput_strict,pos_p50_all_mm,pos_p95_all_mm,pos_max_all_mm,rot_p95_all_deg,near_limit_ratio,speedup_vs_curobo_graph_stream,speedup_vs_curobo_graph_e2e,notes
cuRobo-Graph,100,9.515961456298829,0.41957494681772545,9.541745606111363,0.42140108034515494,10508.659630373739,0.87,0.87,0.92,9142.533878425153,0.000130426029816419,74.32372067016374,644.5070236390985,9.604312962092585,,1.0,1.0,collision disabled; zero external seed; cuRobo internal optimizer/graph/seeding not equivalent to V4 Sobol-K16
cuRobo-Graph,500,11.957273483276367,0.6657057221057952,12.007985200034454,0.6573414768002318,41815.55274279776,0.836,0.856,0.89,34957.80209297893,0.0001260081556396116,115.63684398636344,647.5260415725895,10.799846367904294,,1.0,1.0,collision disabled; zero external seed; cuRobo internal optimizer/graph/seeding not equivalent to V4 Sobol-K16
cuRobo-Graph,1000,15.401619148254394,0.478341204158472,15.473625395679846,0.4567564412705454,64928.23841273462,0.84,0.857,0.889,54539.720266697084,0.00012607295695134913,98.9201519203432,628.513243382184,8.108863953812708,,1.0,1.0,collision disabled; zero external seed; cuRobo internal optimizer/graph/seeding not equivalent to V4 Sobol-K16
cuRobo-Graph,5000,36.456895446777345,0.6623267649798448,36.48683280334808,0.6570359355321679,137148.2661572046,0.8438,0.8628,0.9012,115725.70698344924,0.0001257182238121639,75.04650618776496,648.1265593988995,6.528344770316035,,1.0,1.0,collision disabled; zero external seed; cuRobo internal optimizer/graph/seeding not equivalent to V4 Sobol-K16
