N,run_label,target_id,strict_success_by_curobo,strict_success_by_our_eval,q0,q1,q2,q3,q4,q5,curobo_reported_pos_err_mm,curobo_reported_rot_err_deg,our_reeval_pos_err_mm,our_reeval_rot_err_deg,abs_diff_pos_err_mm,abs_diff_rot_err_deg,target_x,target_y,target_z,target_qw,target_qx,target_qy,target_qz,near_limit,reason_flag
1000,curobo_threshold_N1000_K16,0,1,1,-1.7918615341186523,4.677307605743408,0.47754740715026855,-3.1781299114227295,2.3198349475860596,1.0631890296936035,0.00013431724710244453,3.81723475893314e-06,0.00017032972429025184,2.091309789151873e-06,3.6012477187807315e-05,1.7259249697812673e-06,0.07882777165062335,-0.1105914457716395,1.239761953243328,-0.024760963395237923,0.7741779685020447,-0.4868920147418976,-0.40369734168052673,0,consistent_success
1000,curobo_threshold_N1000_K16,1,1,1,0.4369632601737976,-0.13254031538963318,1.4818065166473389,-1.3588452339172363,2.911104679107666,-1.3901435136795044,7.300048565639372e-05,1.856636551441026e-05,5.215330286456988e-05,2.0526110585337575e-05,2.0847182791823838e-05,1.959745070927314e-06,0.6522615539968614,0.3865275042722654,-0.46562988586154,0.6633250117301941,0.3671819269657135,0.603393018245697,-0.24717257916927338,0,consistent_success
1000,curobo_threshold_N1000_K16,2,1,1,-1.3114017248153687,-6.003872871398926,0.6028949022293091,3.7665488719940186,-0.2605191171169281,-5.564062118530273,0.00013328003944934608,2.1146402160021522e-05,0.00015837764373957525,2.1800504449438904e-05,2.5097604290229178e-05,6.541022894173818e-07,0.5187393341179228,-0.9682638560328939,-0.49966644408145494,0.5493733882904053,0.1617097705602646,0.7761316895484924,0.2639288306236267,0,consistent_success
1000,curobo_threshold_N1000_K16,3,1,1,-0.24852603673934937,-0.25427934527397156,2.3321263790130615,-1.6822479963302612,-1.6829476356506348,0.7369718551635742,0.00010975390551948294,2.6181807071283655e-06,9.116343581853693e-05,6.830189170012755e-06,1.8590469700946008e-05,4.21200846288439e-06,0.2173754365079794,0.1033278817505654,-0.2905031380744559,0.7282297611236572,0.2043396383523941,-0.5165029764175415,-0.4014366865158081,0,consistent_success
1000,curobo_threshold_N1000_K16,4,1,1,-2.1452672481536865,-0.12713253498077393,-0.28438276052474976,-0.3842878043651581,1.7922487258911133,2.461219072341919,0.00011920928955078125,1.1823161308936418e-05,7.857295789034379e-05,8.009106731400786e-06,4.063633166043746e-05,3.8140545775356326e-06,-0.5733830802321036,-1.1502463897904693,0.4171197645928857,0.5740078687667847,-0.08228697627782822,-0.3804461658000946,0.720419704914093,0,consistent_success
1000,curobo_threshold_N1000_K16,5,1,1,-2.9344735145568848,0.07262527942657471,-1.0794631242752075,2.337212324142456,2.7841248512268066,-1.8590035438537598,0.0001125012971670003,9.48448611877107e-06,9.505374772846492e-05,7.244509618354405e-06,1.7447549438535383e-05,2.2399765004166653e-06,-0.7783134659638649,-0.24281231649886048,0.5076865962909415,0.5695439577102661,-0.8074994683265686,-0.13365688920021057,0.07549893110990524,0,consistent_success
1000,curobo_threshold_N1000_K16,6,1,1,1.4528751373291016,0.010728954337537289,1.2864866256713867,1.3460736274719238,0.8508120775222778,0.3548421561717987,3.332000986233652e-05,6.406036097246765e-06,1.9751407812720433e-05,2.091309789151873e-06,1.3568602049616086e-05,4.314726308094893e-06,-0.14665566757103593,0.6723267788552697,-0.36178097332157294,-0.24418674409389496,0.3633827865123749,0.7400087118148804,-0.5106005072593689,0,consistent_success
1000,curobo_threshold_N1000_K16,7,1,1,0.0146819232031703,0.2207428514957428,1.5025415420532227,-1.5279502868652344,-0.6624048352241516,-1.0011588335037231,7.450580596923828e-05,9.515563344008087e-06,0.00012134755026174438,8.954453545231654e-06,4.6841744292506094e-05,5.611097987764334e-07,0.4286151634785514,0.242960922897679,-0.6748529403132706,0.0667167454957962,-0.4557432532310486,0.4822993874549866,0.7451404333114624,0,consistent_success
1000,curobo_threshold_N1000_K16,8,1,1,-2.757952928543091,-1.4251118898391724,2.4705893993377686,0.5608547925949097,2.816805601119995,-1.496771216392517,0.08021435496630147,0.022609635367561363,0.08023272563592565,0.022608766064355197,1.8370669624179214e-05,8.693032061656003e-07,-0.21169387209366156,-0.16792603287408514,0.21238388825175292,0.5714053511619568,-0.8006815314292908,-0.13559570908546448,0.11840075999498367,0,consistent_success
1000,curobo_threshold_N1000_K16,9,1,1,2.124415159225464,0.5343528389930725,2.841857433319092,-0.561048686504364,-0.8854878544807434,-3.810957908630371,0.010635329999786336,0.0007779866963987605,0.010639336801024628,0.0007792619891828421,4.006801238291835e-06,1.2752927840816103e-06,-0.1893868625496145,-0.11637694154174795,0.0811409770300571,-0.15122316777706146,-0.5386905670166016,0.29271265864372253,0.7754117250442505,0,consistent_success
