N,num_seeds,gpu_ms,throughput,strict_sr,pos_p95_all_mm,pos_p95_success_mm,pos_p95_failure_mm,rot_p95_all_deg,elapsed_sec
100,16,11.14520517985026,8972.468284459483,0.98,0.890991859604113,0.0252087963192887,8.893615129651723,0.0173865048336653,2.3
500,16,51.65231959025065,9680.10737884412,0.988,0.4719882795093515,0.32769394359455706,237.4067936695694,0.056524395725431914,1.2
1000,16,96.15904998779297,10399.437183779855,0.988,0.877226588763366,0.41549325957900834,337.6775332715204,0.08026713613884032,1.5
