target_id,best_seed_id,q0,q1,q2,q3,q4,q5,pos_err_mm,rot_err_deg,pose_cost,limit_score,total_loss,iters,success_loose,success_medium,success_strict,near_limit,success_rank
0,9,-3.1948337947984249,-2.920062930031551,-1.7063109883580423,0.49674000561384113,-1.4675515301786302,5.279623362370069,0.021714799054,0.068099796651,1.4131598879638722e-06,0,7.065799439819361e-07,9,1,1,1,0,0
1,8,2.8627399811355225,5.3484720361468181,0.79564920371027092,0.514144088447822,4.1225794727600116,4.0514480456107904,0.0364829705339,0.00483831082088,8.4618729603495184e-09,0,4.2309364801747592e-09,15,1,1,1,0,0
2,5,-3.5542937997318442,4.5512556145782597,2.9866930723569531,-2.1637349041963168,-4.7581016851606694,1.683217860552763,0.680573938194,0.0122810409943,5.0912449329319213e-07,0,2.5456224664659607e-07,15,1,1,1,0,0
3,11,-4.791185575690176,2.8897827438328791,-0.82288234929731396,3.0444216781661368,1.457070028576571,2.5633681644771551,0.199748372705,0.000490102579284,3.9972581666663335e-08,0,1.9986290833331667e-08,56,1,1,1,0,0
4,0,6.1241298311850247,-2.6801566644326646,0.94235693227810136,0.36930911886247614,1.9535020818239444,-1.2303158031768338,0.933474440901,0.052806086523,1.7207949595141182e-06,0,8.6039747975705911e-07,16,1,1,1,0,0
5,10,3.5960989302736222,-0.51048863601181149,2.844070930920533,-4.030978051301167,-3.619633216378912,1.8575469809462017,0.549377392497,0.00761065665507,3.1945959843000146e-07,0,1.5972979921500073e-07,14,1,1,1,0,0
6,7,-2.5974626515751362,4.718626960412541,-1.3252712894705132,-4.8001575103970513,-4.5613377875571874,0.93765388703864772,0.0610601403068,0.0138451900195,6.2120236642462247e-08,0,3.1060118321231124e-08,21,1,1,1,0,0
7,13,-3.0485842607347649,3.3666650748604536,-0.45135571187809664,-5.0796483549815656,-4.2823138534491196,0.92390701889021654,0.571943628384,0.00617002547269,3.3871605989311895e-07,0,1.6935802994655948e-07,32,1,1,1,0,0
8,6,-0.74525676447539113,2.1428965478532773,-1.5618796281810654,-0.11541985647051503,-3.8859717712078119,-0.81936942984543648,0.0396980519872,0.856400860801,0.00022341482551006819,0,0.0001117074127550341,19,1,1,1,0,0
9,1,3.3076261031433147,5.5442637840911626,2.6441725491385171,-3.7992988606303233,1.9510857024240056,-4.4843226963306,0.0714528432861,0.00498659501641,1.2680165131003632e-08,0,6.3400825655018162e-09,30,1,1,1,0,0
10,4,-3.4731258844007518,-0.37632804853568885,0.88403297555500504,4.5518208257107764,0.63255188469474077,0.35008201714437909,0.380609080384,0.812647088861,0.00020131277286612208,0,0.00010065638643306104,8,1,1,1,0,0
11,1,-1.0763687816812535,0.22195830931213403,-2.6531331385420183,-3.6931081283825264,-1.1465280350191682,1.0716989585908558,0.250152384696,0.00803831786729,8.2258934330650264e-08,0,4.1129467165325132e-08,19,1,1,1,0,0
12,0,-0.62926491409625085,-4.610896033452871,0.26148910445434148,2.818757397712321,-4.5445652261329368,4.6386329441204088,0.195301398242,0.0835110132921,2.1625717365929635e-06,0,1.0812858682964818e-06,42,1,1,1,0,0
13,0,0.70215363970608236,-2.9494095853129649,-2.1723363325717684,-5.9383891118181511,-1.1664066872670678,5.964672069079044,0.256887637084,0.196692702705,1.1851035873136332e-05,0,5.9255179365681661e-06,18,1,1,1,0,0
14,11,4.1481272985934226,3.2069422780890311,-1.9265743654336669,-2.9797784192944565,1.3888249498481724,0.46711257313028209,0.848144287162,0.0550411156499,1.6421946414040778e-06,0,8.2109732070203889e-07,18,1,1,1,0,0
15,9,-1.0216141303464821,3.0409773174174575,-1.7109969644019851,0.21988747533266323,-0.90945456025582627,2.6397730978514415,0.0637387586261,0.0573576267289,1.0062226696357765e-06,0,5.0311133481788827e-07,21,1,1,1,0,0
16,6,-1.0556180828259905,-1.9311364378624969,-3.0137404413367332,-0.56035674694439386,4.1968490725531806,1.2286761066673886,0.01775947386,0.0123445539404,4.6735441929491955e-08,0,2.3367720964745977e-08,14,1,1,1,0,0
17,14,-4.1941733175348306,4.122803591858756,-1.3623209202553364,5.9983689803731801,-1.6224669914696421,0.11379496539475729,0.0268060719106,0.0342451199534,3.5795201626011911e-07,0,1.7897600813005956e-07,24,1,1,1,0,0
18,3,0.32391069665657385,-5.6531047918511197,2.8970033437000575,-2.2299324240637732,4.4042466046259303,1.3226502898354895,0.247651955547,0.0535472370288,9.3476302730924173e-07,0,4.6738151365462087e-07,25,1,1,1,0,0
19,15,5.5739852199552269,-0.77780761334572335,2.3047280147353524,-3.2716156026964778,-3.8020451311444949,4.9513982483515457,0.057914203761,0.0906029419911,2.5039258896450385e-06,0,1.2519629448225193e-06,23,1,1,1,0,0
20,0,-4.2761234208409968,4.5111117929775277,-0.73158523606093107,-3.7998999814139567,-1.058395000132283,1.2794930762692331,0.259894341781,0.0502577693432,8.3696096189304001e-07,0,4.1848048094652e-07,26,1,1,1,0,0
21,13,1.9540813988618049,-3.3788081714472789,-2.7686509854473909,2.4433186322104166,4.480175016814897,-0.70663996484627878,0.036700635525,0.113296951303,3.9114768090760261e-06,0,1.955738404538013e-06,9,1,1,1,0,0
22,8,-0.021460619495212205,0.48261982898727446,-0.98572868495806987,0.31212180581012722,4.7462036645879611,3.6329670366645441,0.0128627141078,0.446604761181,6.0757880478445342e-05,0,3.0378940239222671e-05,20,1,1,1,0,0
23,10,-1.6981388648487994,-1.2524697308298691,1.7312760877085105,2.0891735897495276,-1.3055653953697015,2.8435929043846948,0.0579523744534,0.0270376830827,2.2604487115500967e-07,0,1.1302243557750483e-07,10,1,1,1,0,0
24,10,-3.7502301245329193,4.681658583118085,-1.8720024050671766,1.2734506584387504,0.2252452793481175,-3.692227558835703,0.101396567346,0.115747517326,4.0913894190844756e-06,0,2.0456947095422378e-06,18,1,1,1,0,0
25,1,-5.7937887804674117,0.39266136261275353,-1.4656064992316418,0.3794367242138193,-4.9551852966499519,4.7895503356794142,1.62226199775,0.0213087656093,2.7700496386250709e-06,0,1.3850248193125355e-06,10,1,1,1,0,0
26,14,-1.7936571898482057,-5.3329415014996995,2.5459269774814954,4.2883437219741261,-2.481061109378,3.0583658231542019,0.0417327300117,0.0262388276414,2.1146342660905597e-07,0,1.0573171330452799e-07,23,1,1,1,0,0
