target_id,best_seed_id,q,pos_err_mm,rot_err_deg,pose_cost,limit_score,iters,near_limit
0,0,[-2.11578895 -1.06785945 -0.67700172 -3.50449382  4.2734952   2.80213902],0.08545016414505927,0.8586301653004021,0.00022458520312310896,0.0,16,False
1,0,[-2.50498438 -4.28986624  1.26311129  2.70766849  2.80424133 -4.12580302],0.07043652399845556,0.019312727125611263,1.1857794445195156e-07,0.0,14,False
2,0,[ 2.19537105 -3.65916828  0.20576515 -3.05334175 -4.5089332   2.222019  ],137.7616948119857,0.23319807639689816,0.018994850061809693,0.0,60,False
3,0,[ 5.277641    2.63027589 -2.21196534 -3.55388198 -0.41640615 -3.68301062],9.648820736119584,0.03389522075676281,9.344971228371978e-05,0.0,60,False
4,0,[ 6.28318531 -3.46759756  2.3716023   1.92133645  4.17310033  5.15890523],1272.1956231110667,52.192679432827106,2.448282640812826,0.007568999999999999,60,True
5,0,[ 0.60365448  2.69092432  1.76939138 -2.46264104 -0.56337782  4.17961534],0.039107301449238754,0.12308570824944075,4.616511186216657e-06,0.0,8,False
6,0,[ 5.21241285  1.58082323  1.5609084   5.04788154 -1.24550548  2.3895687 ],2.639787418154398,0.6928133173746504,0.00015318188210763394,0.0,44,False
7,0,[-2.24492755 -3.67705155 -1.39502942  6.27621275 -1.29789681 -2.99026551],10.243231664501405,0.2178494422344065,0.00011938044403766142,0.006404392402800501,60,True
8,0,[ 3.07076602 -2.21880922  2.93479489 -1.49630728  1.01225203  6.28318531],30.316590841923166,1.8580219842704855,0.0019707098560625136,0.007568999999999999,60,True
9,0,[ 6.28318531 -4.62507765  2.75212938  6.28318531 -5.33949838 -6.28318531],350.1340065802553,54.53645158013357,1.0285944311412996,0.022706999999999998,60,True
10,0,[ 4.91618601 -4.5619095   2.73301546  0.09781323 -3.45562783 -6.28318531],59.21092250112835,4.701008558533846,0.01023782036666078,0.007568999999999999,60,True
11,0,[-1.25787392 -2.10934404  3.13635905 -4.15304664  0.49604931 -6.23081881],390.2082520120661,10.739251104482411,0.18739446823994133,0.007885223958939232,60,True
12,0,[-1.47977278 -3.79044986  2.51017878 -4.77944052 -4.44100641 -1.46417952],0.08269302811453871,0.9872541613868207,0.00029690853603086913,0.0,21,False
13,0,[ 1.35134968 -1.89885071 -3.10095012 -6.24108485 -3.11334876  0.3053643 ],749.8448353460988,15.36646344165952,0.6341960397232707,0.004164983173240147,60,True
14,0,[ 1.70349636 -0.794031    1.2953951  -3.05695744  2.29706712  1.13275804],0.15672220619383748,0.7056416456085361,0.00015170275389902546,0.0,21,False
15,0,[ 2.45044919  3.14829254  0.59741737  6.11201328 -4.48712613 -0.02464848],0.005264020667884146,0.6552289125492079,0.00013077987947877643,0.0,13,False
16,0,[ 3.49994795  3.98269288 -1.38216709  1.98986807  2.05678281  6.24746717],4.719777626038245,0.02972863295191288,2.254551916130862e-05,0.0026298291685210957,23,True
17,0,[-0.03469786  3.87789062  2.12177543  5.68747964  0.84327685 -1.35569826],0.0208889790255388,0.5138195980464629,8.04226578233627e-05,0.0,19,False
18,0,[ 1.14550737 -1.79177638 -1.56622261  6.28318531 -4.44723539 -3.46554961],8.560183458497216,0.7401187972414274,0.00024013880202688987,0.007568999999999999,60,True
19,0,[ 0.49257626 -3.72133011  0.06796254 -3.89748366 -5.20438098 -1.47619657],187.74693385508127,1.0192128519325232,0.0355653461750848,0.0,60,False
20,0,[-0.79391456  6.10418265 -2.62646626 -4.76008358  0.79829044 -0.49218928],0.9210440507847882,0.43481423856168794,5.8440333946224294e-05,0.0,33,False
21,0,[-0.87665906 -6.09198758 -1.80304499 -1.6921768  -5.40626422 -5.12926087],0.07438813271650062,0.2235625962477119,1.5230383650046571e-05,0.0,6,False
22,0,[-6.28318531  3.61509764  0.25553392  1.77425732 -4.6577527  -0.17644696],315.15951988006526,11.672693446450486,0.14083018628884383,0.007568999999999999,60,True
23,0,[ 4.56129229  5.72233319 -2.32828623  5.86675236  4.85561683 -2.77142992],71.45735262017502,7.342040537792145,0.021526725616993158,0.0,60,False
24,0,[-0.16742405 -6.28318531  2.52836341 -6.28318531 -0.3758099   2.53671565],192.84261731643693,37.20211379872419,0.4587779527657177,0.015137999999999999,60,True
25,0,[ 5.35147206  6.28318531 -1.22079021  1.49938478  3.45980206  6.28318531],294.4192559897958,57.10100584139827,1.0798953707684225,0.015137999999999999,60,True
26,0,[ 3.44935938  5.76139648 -2.68292511  6.27837563 -4.20050189  3.21449199],51.426910101432924,0.265811129231581,0.002666249995872144,0.006755248957681263,60,True
27,0,[ 2.26760135  2.21324741  0.11227     6.08303409  5.37119819 -1.46426747],0.027362876075874103,0.5082004813057616,7.867359800988309e-05,0.0,53,False
28,0,[ 4.32391239 -4.13336026 -1.5474005  -6.0272009  -0.55254369  4.65768356],124.10098704294884,2.726799402715969,0.01766601800444149,0.0,60,False
29,0,[ 2.73500253 -3.20012995  3.02796783  5.83046176 -4.23933551 -3.67027154],102.5052760843719,46.4460256166621,0.6676381720037975,0.0,60,False
30,0,[ 2.29693738 -6.28318531 -2.27533607  4.039655    4.78180205 -1.36030812],144.96119108628798,35.51682368300705,0.4052717962956782,0.007568999999999999,60,True
31,0,[ 4.11951452  4.99840298 -2.6065474   2.59804504 -3.79417912 -5.26641886],0.13645654768109503,0.10290894108215454,3.244595066410426e-06,0.0,9,False
32,0,[-3.79621948 -2.84289637  2.32380079 -4.08994012 -1.52406727  5.4295863 ],0.034477519932056416,0.0001650391101594339,1.1969965218848168e-09,0.0,60,False
33,0,[ 0.19015624 -0.57152456  2.76715034  4.76492386 -1.44940644  6.28318531],8.141272230683992,0.6981025533901029,0.00021473475253811207,0.007568999999999999,60,True
34,0,[ 0.75487843  0.93767133  2.24420378  5.51333009 -1.68252214  0.74369679],0.013689978418657676,0.2660370148124192,2.1559696477032078e-05,0.0,23,False
35,0,[ 0.6359689  -1.87302992  3.14159265  5.92933273 -1.91059625 -6.18849506],68.4935418316206,0.5871704750202448,0.004796387966632944,0.007568999999999999,60,True
36,0,[-0.5475061   1.17817792  1.49637729 -2.56508842  1.57714534  5.52576954],0.021909924248035475,0.22754838159212548,1.5773041824128372e-05,0.0,23,False
