N,run_label,target_id,strict_success_by_curobo,strict_success_by_our_eval,q0,q1,q2,q3,q4,q5,curobo_reported_pos_err_mm,curobo_reported_rot_err_deg,our_reeval_pos_err_mm,our_reeval_rot_err_deg,abs_diff_pos_err_mm,abs_diff_rot_err_deg,target_x,target_y,target_z,target_qw,target_qx,target_qy,target_qz,near_limit,reason_flag
1000,curobo_threshold_N1000_K1,0,0,0,-1.9609581232070923,-1.6302425861358643,0.07234042882919312,0.1755373775959015,-2.3716580867767334,-2.3445987701416016,22.20028266310692,2.383959709029768,22.200215279514318,2.3839605617585353,6.738359260083371e-05,8.527287671533657e-07,0.07882777165062335,-0.1105914457716395,1.239761953243328,-0.024760963395237923,0.7741779685020447,-0.4868920147418976,-0.40369734168052673,0,reported_large_reeval_large
1000,curobo_threshold_N1000_K1,1,1,1,0.4369632601737976,-0.13254031538963318,1.4818065166473389,-1.3588452339172363,2.911104679107666,-1.3901435136795044,7.300048565639372e-05,1.856636551441026e-05,5.215330286456988e-05,2.0526110585337575e-05,2.0847182791823838e-05,1.959745070927314e-06,0.6522615539968614,0.3865275042722654,-0.46562988586154,0.6633250117301941,0.3671819269657135,0.603393018245697,-0.24717257916927338,0,consistent_success
1000,curobo_threshold_N1000_K1,2,0,0,-1.3291715383529663,0.2579478621482849,0.43734896183013916,0.7812235951423645,0.2710225582122803,-2.4232144355773926,162.45025396347046,2.168302462402139,162.4502002777917,2.1683030826305933,5.368567875052577e-05,6.202284543732617e-07,0.5187393341179228,-0.9682638560328939,-0.49966644408145494,0.5493733882904053,0.1617097705602646,0.7761316895484924,0.2639288306236267,0,reported_large_reeval_large
1000,curobo_threshold_N1000_K1,3,1,1,-0.24852603673934937,-0.25427934527397156,2.3321263790130615,-1.6822479963302612,-1.6829476356506348,0.7369718551635742,0.00010975390551948294,2.6181807071283655e-06,9.116343581853693e-05,6.830189170012755e-06,1.8590469700946008e-05,4.21200846288439e-06,0.2173754365079794,0.1033278817505654,-0.2905031380744559,0.7282297611236572,0.2043396383523941,-0.5165029764175415,-0.4014366865158081,0,consistent_success
1000,curobo_threshold_N1000_K1,4,1,1,-2.1452672481536865,-0.12713253498077393,-0.28438276052474976,-0.3842878043651581,1.7922487258911133,2.461219072341919,0.00011920928955078125,1.1823161308936418e-05,7.857295789034379e-05,8.009106731400786e-06,4.063633166043746e-05,3.8140545775356326e-06,-0.5733830802321036,-1.1502463897904693,0.4171197645928857,0.5740078687667847,-0.08228697627782822,-0.3804461658000946,0.720419704914093,0,consistent_success
1000,curobo_threshold_N1000_K1,5,0,0,0.876334547996521,-1.4089921712875366,3.5260825157165527,-0.15504339337348938,0.2555757164955139,1.4357997179031372,481.50429129600525,38.15784900589505,481.50430684277154,38.15785091109797,1.5546766292118264e-05,1.9052029145427696e-06,-0.7783134659638649,-0.24281231649886048,0.5076865962909415,0.5695439577102661,-0.8074994683265686,-0.13365688920021057,0.07549893110990524,1,reported_large_reeval_large
1000,curobo_threshold_N1000_K1,6,1,1,1.4528751373291016,0.010728954337537289,1.2864866256713867,1.3460736274719238,0.8508120775222778,0.3548421561717987,3.332000986233652e-05,6.406036097246765e-06,1.9751407812720433e-05,2.091309789151873e-06,1.3568602049616086e-05,4.314726308094893e-06,-0.14665566757103593,0.6723267788552697,-0.36178097332157294,-0.24418674409389496,0.3633827865123749,0.7400087118148804,-0.5106005072593689,0,consistent_success
1000,curobo_threshold_N1000_K1,7,1,1,0.0146819232031703,0.2207428514957428,1.5025415420532227,-1.5279502868652344,-0.6624048352241516,-1.0011588335037231,7.450580596923828e-05,9.515563344008087e-06,0.00012134755026174438,8.954453545231654e-06,4.6841744292506094e-05,5.611097987764334e-07,0.4286151634785514,0.242960922897679,-0.6748529403132706,0.0667167454957962,-0.4557432532310486,0.4822993874549866,0.7451404333114624,0,consistent_success
1000,curobo_threshold_N1000_K1,8,1,1,-2.757882595062256,-1.4249683618545532,2.4706170558929443,0.5611821413040161,2.816812753677368,-1.4962899684906006,0.09685980330687016,0.027650928624839016,0.09684724510922532,0.02765120155366559,1.2558197644840785e-05,2.729288265737595e-07,-0.21169387209366156,-0.16792603287408514,0.21238388825175292,0.5714053511619568,-0.8006815314292908,-0.13559570908546448,0.11840075999498367,0,consistent_success
1000,curobo_threshold_N1000_K1,9,0,0,1.93306565284729,-3.857661247253418,2.8283510208129883,0.7882192134857178,0.5648773312568665,-0.7974931597709656,64.60055708885193,11.157915702669658,64.60055459623467,11.157916991212014,2.4926172557115933e-06,1.2885423554820363e-06,-0.1893868625496145,-0.11637694154174795,0.0811409770300571,-0.15122316777706146,-0.5386905670166016,0.29271265864372253,0.7754117250442505,0,reported_large_reeval_large
