target_id,seed_id,q0,q1,q2,q3,q4,q5,pos_err_mm,rot_err_deg,pose_cost,limit_score,total_loss,iters,success_loose,success_medium,success_strict,near_limit
0,0,4.4522118312516819,1.4667219764630781,-1.6584483415309366,-0.85174060645840854,4.7824476765710502,0.75216553606886261,18.319968951,48.7795133702,0.72515477626060643,0,0.36257738813030321,60,0,0,0,0
0,1,5.8394231343258118,1.6895448145961689,3.0497932083555592,-4.9439638440546609,1.8707904495071643,-0.96767999476500566,963.80091825,16.3440845529,1.0102843871726082,0,0.50514219358630408,60,0,0,0,0
0,2,1.6867728099334258,1.5685077131667318,1.4504029493581128,4.5863951910250575,-2.482095379204674,-5.772435234967336,0.836801425545,0.855742748816,0.00022377024870489965,0,0.00011188512435244982,40,1,1,1,0
0,3,4.3430945490920081,1.2256163254360963,-0.96215346463226381,-4.7799596884574331,-0.54330728763696678,3.5540098882470761,0.397761034418,0.0172998668225,2.493813844154863e-07,0,1.2469069220774315e-07,23,1,1,1,0
0,4,1.7045387877904359,-3.2181676611789514,-1.5782984717608906,5.5391456881925336,-2.2920933445485177,6.0749352330126944,0.324592578877,0.0271431936782,3.2978812888787484e-07,0,1.6489406444393742e-07,16,1,1,1,0
0,5,-4.6085729688734718,2.9891854187143538,-1.4800448139096811,-0.23868076853332407,3.6451015506398003,-0.059074853602273811,1.44256691902,0.765669507021,0.00018066289890927151,0,9.0331449454635754e-05,34,1,1,1,0
0,6,-4.5989822175299535,-3.3360963655014593,-1.4283669831344112,-0.11122015101918421,-2.5197790921275027,-5.8270724090010244,0.0814477826222,0.172886245942,9.1115430320098732e-06,0,4.5557715160049366e-06,21,1,1,1,0
0,7,-4.6011125813141653,1.8712653373668524,1.3429216503037307,-3.2713135043015118,2.5480753338450834,-1.8521504547113516,0.0086058092182,0.55720875696,9.4578177587603885e-05,0,4.7289088793801942e-05,57,1,1,1,0
0,8,1.7719044895043425,1.5403416104687002,1.6452215559313224,3.5134685300571347,-1.7292208469366808,-0.866410011837071,0.0500665285752,0.41390668007,5.2189179138206491e-05,0,2.6094589569103245e-05,12,1,1,1,0
0,9,-4.6042513254975361,-3.462972089435298,-0.85479038205812929,2.5880297638367917,-3.6923417187677452,3.395538038406845,0.061072717169,0.192119664,1.124714826955082e-05,0,5.6235741347754098e-06,33,1,1,1,0
0,10,-4.5934801372552307,-4.4483711629177751,0.97031815664159282,6.2284834378071583,-2.4845269046007918,-5.0527889401596475,4.85916282027,0.139250001508,2.9518166558845306e-05,0.0010431692420357081,4.6054160540493893e-05,11,1,1,1,1
