N,strict_success_count,strict_failure_count,strict_sr,pos_p50_all,pos_p95_all,pos_p99_all,pos_max_all,pos_p50_success_only,pos_p95_success_only,pos_p99_success_only,pos_max_success_only,pos_p50_failure_only,pos_p95_failure_only,pos_p99_failure_only,pos_max_failure_only,rot_p95_all,rot_p95_success_only,rot_p95_failure_only,status
100,86,14,0.86,0.000130426029816419,87.3131256704353,491.3571297396826,644.5070236390985,0.0001089726571408146,0.06608496361817046,1.9601674735069317,3.0627577813338545,35.874708635210666,543.9540629980673,624.3964315108922,644.5070236390985,9.647372342220871,0.017811896177041264,42.09667793140161,ok
500,417,83,0.834,0.0001233274606669099,99.23006830701395,320.12015943950587,694.2241647611598,0.00010384648416610508,0.19304139859950245,2.1164112592357265,3.3491256821977755,54.36776879099316,320.1459449724128,521.3965433682265,694.2241647611598,8.021228518114158,0.017357618206454897,18.657128160357825,ok
1000,838,162,0.838,0.00012607295695134913,103.78698002880935,222.07349232879568,616.1653731988604,0.00010470860583735209,0.397162064069457,2.4172708419386475,4.729010269734722,58.557811837611766,229.82495052188122,450.41061967611927,616.1653731988604,7.510206108165726,0.03452010808214468,23.11638417843068,ok
5000,4219,781,0.8438,0.0001257182238121639,76.44819363410174,161.33949313657448,727.520690407351,0.00010486696709263312,0.46676147256830663,3.0208167696890174,4.989019872431219,42.43002559698255,177.54163502433516,240.9479581332587,727.520690407351,6.190969434605275,0.04264650069770015,22.310172026999737,ok
