target_id,best_seed_id,q0,q1,q2,q3,q4,q5,pos_err_mm,rot_err_deg,pose_cost,limit_score,total_loss,iters,success_loose,success_medium,success_strict,near_limit,success_rank
324,3,-2.4803540706634521,6.0368556976318359,1.2321610450744629,-5.4226546287536621,4.0432395935058594,-1.7821965217590332,0.276093792521,0.0580017118893,1.1010212739933563e-06,0,5.5051063699667815e-07,40,1,1,1,0,0
325,5,-0.51802605390548706,0.050154745578765869,-1.3329938650131226,5.3778848648071289,2.0119950771331787,4.1596202850341797,0.37240437074,0.0453362367047,7.6478784914309694e-07,0,3.8239392457154847e-07,20,1,1,1,0,0
326,14,-1.3919079303741455,3.3506882190704346,-2.0146183967590332,-0.8361847996711731,2.1510474681854248,2.1676537990570068,0.0171141381871,0.116441705291,4.130500187546086e-06,0,2.065250093773043e-06,42,1,1,1,0,0
327,7,-1.8372945785522461,4.8376822471618652,-2.3270423412322998,5.3116297721862793,5.0170269012451172,-2.6285586357116699,0.050777008587,0.0341491315495,3.5781192524483789e-07,0,1.7890596262241894e-07,15,1,1,1,0,0
328,9,-0.88321000337600708,4.7484598159790039,-1.8538936376571655,4.696204662322998,-1.768589973449707,1.6326667070388794,0.0147997602264,0.0504914480475,7.7680651754700059e-07,0,3.8840325877350029e-07,17,1,1,1,0,0
329,6,4.912109375,0.89179229736328125,0.56679612398147583,0.1325431615114212,4.3878355026245117,-3.0574743747711182,0.279537360838,0.0248030810006,2.6553958777341823e-07,0,1.3276979388670912e-07,23,1,1,1,0,0
330,13,2.4290552139282227,-1.0649842023849487,1.9309941530227661,5.5648503303527832,-1.4866313934326172,-1.2292144298553467,0.547886058615,0.000584721779357,3.0028328178610394e-07,0,1.5014164089305197e-07,10,1,1,1,0,0
331,12,1.2019447088241577,-1.9436897039413452,-1.4520155191421509,-1.5123070478439331,-2.4284133911132812,0.18543641269207001,0.0602425474593,0.00650442045331,1.6516761574802694e-08,0,8.2583807874013469e-09,44,1,1,1,0,0
332,2,-5.5186424255371094,-1.1292705535888672,-0.91156649589538574,2.0005345344543457,2.7675673961639404,-1.7175685167312622,4.77921661086,0.129698012784,2.7965056040634489e-05,0,1.3982528020317244e-05,42,1,1,1,0,0
333,5,2.9344391822814941,-5.9975128173828125,-0.40203523635864258,5.0457282066345215,-0.77176004648208618,-2.5250329971313477,0.0293907138802,0.579428738925,0.00010227240459227823,0,5.1136202296139116e-05,38,1,1,1,0,0
334,12,2.6129021644592285,2.7412662506103516,-3.0243144035339355,1.2372118234634399,-1.3089584112167358,5.3717117309570312,1.14563573725,0.045702210456,1.9487332225847916e-06,0,9.7436661129239582e-07,8,1,1,1,0,0
335,13,5.563812255859375,-0.2381940633058548,-3.0510282516479492,3.2977805137634277,2.0838029384613037,0.49321180582046509,2.05180393983,0.151405822138,1.1192864752794498e-05,0,5.5964323763972492e-06,18,1,1,1,0,0
336,14,-1.8554050922393799,-4.9149460792541504,-0.95719641447067261,-3.2019176483154297,-3.055171012878418,0.92864978313446045,0.0712783563903,0.370785719267,4.1884507824047137e-05,0,2.0942253912023569e-05,10,1,1,1,0,0
337,5,-3.3764636516571045,-2.5444130897521973,2.8532388210296631,3.8585150241851807,-0.83756011724472046,-0.86043417453765869,0.12779042962,0.0549639681119,9.365911307547365e-07,0,4.6829556537736825e-07,16,1,1,1,0,0
338,2,-2.4326276779174805,1.4189250469207764,-2.5537071228027344,1.8644689321517944,4.8087310791015625,3.4124641418457031,0.0252819518663,0.000851202481186,8.5988632084986941e-10,0,4.2994316042493471e-10,33,1,1,1,0,0
339,6,0.57807391881942749,2.0084695816040039,-2.3260838985443115,-2.0673730373382568,-5.2910041809082031,3.65567946434021,0.315946553573,0.0503607427507,8.7239426826408091e-07,0,4.3619713413204045e-07,17,1,1,1,0,0
340,3,3.5291814804077148,1.5789120197296143,-1.8427069187164307,-1.2422720193862915,-4.6513628959655762,-4.404106616973877,0.00110847672049,0.0085606637924,2.2325105536058006e-08,0,1.1162552768029003e-08,23,1,1,1,0,0
341,11,-1.9365581274032593,1.240688681602478,-2.2460954189300537,-3.7080750465393066,-1.6603958606719971,3.5711462497711182,0.0616621798343,0.00814154947184,2.3993737638085098e-08,0,1.1996868819042549e-08,19,1,1,1,0,0
342,10,4.0739831924438477,-2.8503701686859131,-0.29933619499206543,-1.1637114286422729,-0.84144282341003418,-1.8017032146453857,0.0682038096624,0.0229204397354,1.6468147254226756e-07,0,8.2340736271133782e-08,48,1,1,1,0,0
343,14,-0.28263399004936218,-1.6498230695724487,0.62932103872299194,2.6669056415557861,-3.2277741432189941,-0.088312886655330658,1.73266294561,0.314000217554,3.3036221622349392e-05,0,1.6518110811174696e-05,35,1,1,1,0,0
344,11,-4.2856922149658203,-1.6671067476272583,0.77244490385055542,-1.0392109155654907,-3.0894663333892822,2.5047566890716553,0.250201169791,0.0208868078807,1.9549263815263661e-07,0,9.7746319076318304e-08,22,1,1,1,0,0
345,2,-0.30408818771428725,1.2001733443122307,2.8328008986910067,-5.5802585151848403,0.84693562593380056,5.0282449321202174,123.884324846,1.44063033925,0.01597953374074788,0,0.0079897668703739402,60,0,0,0,0,3
346,9,-3.5600996017456055,-1.5496782064437866,0.44513434171676636,4.7519717216491699,-4.0657138824462891,3.6666383743286133,0.0100512206695,0.599718825667,0.00010955961551325487,0,5.4779807756627433e-05,12,1,1,1,0,0
347,5,0.31490203738212585,5.065131664276123,0.057258404791355133,-0.73158133029937744,-5.1535000801086426,4.0249662399291992,2.93128162626,0.0122252933608,8.6379394211946046e-06,0,4.3189697105973023e-06,19,1,1,1,0,0
348,5,5.9935040473937988,0.0017777649918571115,-0.72821497917175293,-4.6617741584777832,5.005246639251709,-3.6827116012573242,0.0460513372372,0.0132541058693,5.5633270619968302e-08,0,2.7816635309984151e-08,10,1,1,1,0,0
349,4,-5.1971926689147949,1.0191632509231567,0.52245473861694336,-1.498263955116272,5.2916989326477051,-6.0485529899597168,0.145956788741,0.0475176904753,7.0910847146366048e-07,0,3.5455423573183024e-07,21,1,1,1,0,0
350,13,-2.5142898559570312,4.0434541702270508,-2.3857789039611816,-2.5394954681396484,-5.2114896774291992,1.3304779529571533,0.0497310746574,0.143962561301,6.3157359332407185e-06,0,3.1578679666203592e-06,19,1,1,1,0,0
