target_id,target_x,target_y,target_z,target_radius_from_base,target_height_z,orientation_angle,cuda_success,curobo_success,cuda_pos_err,curobo_pos_err,is_curobo_only_fail,is_cuda_only_fail,is_both_fail,radius_bin,z_bin,orientation_angle_bin,curobo_failure_rate,cuda_failure_rate,mean_curobo_pos_err,mean_cuda_pos_err,bin_count
0,0.07882777165062335,-0.1105914457716395,1.239761953243328,0.13580973993519133,1.239761953243328,177.16231263531523,1,0,2.62897323996,22.20531470169788,1,0,0,0,4,5,,,,,
1,0.6522615539968614,0.3865275042722654,-0.46562988586154,0.7581877382161668,-0.46562988586154,96.89209718260119,1,1,0.0704365239983,5.215330286456988e-05,0,0,0,2,0,3,,,,,
2,0.5187393341179228,-0.9682638560328939,-0.49966644408145494,1.0984650161296876,-0.49966644408145494,113.35192960041195,1,0,0.665409316519,117.03310601169798,1,0,0,3,0,3,,,,,
3,0.2173754365079794,0.1033278817505654,-0.2905031380744559,0.24068388301690127,-0.2905031380744559,86.52361584130516,1,1,0.727989750087,9.116343581853693e-05,0,0,0,0,0,2,,,,,
4,-0.5733830802321036,-1.1502463897904693,0.4171197645928857,1.2852372986816338,0.4171197645928857,109.93963660304694,1,1,0.0910567480843,7.857295789034379e-05,0,0,0,3,3,3,,,,,
5,-0.7783134659638649,-0.24281231649886048,0.5076865962909415,0.8153095561467602,0.5076865962909415,110.56314000218244,1,0,0.064018501614,487.9201049290805,1,0,0,2,3,3,,,,,
6,-0.14665566757103593,0.6723267788552697,-0.36178097332157294,0.6881360202725977,-0.36178097332157294,151.7324434235486,1,1,0.0236901553479,1.9751407812720433e-05,0,0,0,1,0,5,,,,,
7,0.4286151634785514,0.242960922897679,-0.6748529403132706,0.4926874956998982,-0.6748529403132706,172.349141115074,1,1,0.0478556296093,0.00012134755026174438,0,0,0,1,-1,5,,,,,
8,-0.21169387209366156,-0.16792603287408514,0.21238388825175292,0.2702100072144551,0.21238388825175292,110.30342913970041,1,1,0.156785298695,0.04034479821285993,0,0,0,0,2,3,,,,,
9,-0.1893868625496145,-0.11637694154174795,0.0811409770300571,0.2222857985319755,0.0811409770300571,162.60436536232766,1,0,0.176243005466,53.49416196427463,1,0,0,0,1,5,,,,,
