rank,N,target_id,target_x,target_y,target_z,target_qw,target_qx,target_qy,target_qz,curobo_pos_err_mm,curobo_rot_err_deg,curobo_success,cuda_pos_err_mm,cuda_rot_err_deg,cuda_success,curobo_q0,curobo_q1,curobo_q2,curobo_q3,curobo_q4,curobo_q5,cuda_q0,cuda_q1,cuda_q2,cuda_q3,cuda_q4,cuda_q5,distance_to_workspace_center,near_joint_limit_by_curobo,near_joint_limit_by_cuda,jacobian_condition_estimate_if_available,reason_guess
1,1000,529,-0.9474476681192453,-0.05329084275911172,-0.254218804225134,0.9521905183792114,0.05413016304373741,0.08664815127849579,0.2879153788089752,616.1653731988604,53.57003795108306,0,0.223906738309,0.0227295083925,1,2.5560760498046875,-0.41529664397239685,-3.5621132850646973,2.7135236263275146,0.8785854578018188,-4.025806903839111,-6.1105252746807777,2.2747467292003147,1.2645383117401858,-2.8294273938857093,2.1923350621167632,3.1079528081395575,0.9824073483887572,1,0,,orientation_hard
2,1000,5,-0.7783134659638649,-0.24281231649886048,0.5076865962909415,0.5695439577102661,-0.8074994683265686,-0.13365688920021057,0.07549893110990524,487.9201049290805,38.84240799184072,0,0.064018501614,0.0694557234967,1,0.890959620475769,-1.4619296789169312,3.505805730819702,-0.06210049241781235,0.09620872139930725,1.3843843936920166,3.1350170972966263,-5.8368351085539256,-1.7645931295915773,5.5132081126231629,-5.8563528020487823,-4.7014594871374324,0.9604558044999824,1,0,,orientation_hard
3,1000,388,-1.1547507556133414,-0.09804654418831563,-0.25475449198833744,0.5402227640151978,-0.6206018328666687,0.34095752239227295,0.4547094702720642,426.42914549799787,73.86739396012084,0,0.390886367037,0.189479524763,1,0.29862117767333984,-2.843773365020752,-1.8430490493774414,1.2415876388549805,1.1653977632522583,-4.468578815460205,-6.1332271127115492,-3.0775710672152239,-0.68738098915344947,4.2894383108690199,3.4302456096109255,0.81518901758491791,1.186575865086211,0,0,,orientation_hard
4,1000,29,-0.11291537435197582,0.00866201375107585,0.19703156107811715,-0.3008479177951813,0.6415645480155945,0.13630260527133942,0.6923200488090515,306.71292176510775,21.59948233460763,0,0.225044261954,0.77339007295,1,-0.49097299575805664,-1.232488751411438,3.0497870445251465,0.11454781144857407,-0.2431526482105255,-0.24853943288326263,-4.9455711191923744,0.3396959339085226,-2.8682450671460216,3.1028657824287396,4.1127704986795344,5.9305046313719068,0.22725832945824115,0,0,,orientation_hard
5,1000,196,-0.049193536101580816,-0.062022474906292854,-0.08679778369778846,0.4812202751636505,-0.25573402643203735,0.731979489326477,0.4089415371417999,284.1302737795897,17.22050860408231,0,124.653377465,1.51199115752,0,0.3941872715950012,2.272881269454956,2.9859204292297363,1.1172304153442383,0.9202534556388855,-0.9868621230125427,-2.6087103861267074,-2.9464374396152753,-2.8810426951220611,5.4168867055529608,1.7368157015311558,-5.0648789883073571,0.11747615350583851,0,0,,orientation_hard
6,1000,83,0.9738672254294946,0.7408370919738891,-0.12349571295167511,-0.14257365465164185,-0.1712951362133026,0.6338177919387817,0.7406792044639587,275.55198114255336,10.038431982271067,0,0.0372881779612,0.154763809738,1,0.3729570508003235,0.48826122283935547,-0.8400463461875916,1.8618115186691284,0.0011264979839324951,-1.6468548774719238,0.49577532656646378,6.1760576678659387,0.75223510583386899,-1.7530366226047933,-4.9803742309154595,-2.0956486939851584,1.229840705427948,0,0,,orientation_hard
7,1000,169,-0.3186742307977261,0.21549808203680718,-0.4369900087091954,-0.19056276977062225,0.6672083139419556,-0.617030918598175,0.37120309472084045,266.54312125201596,9.973969199568318,0,0.443767214648,0.121555014422,1,1.4545334577560425,2.696530818939209,-2.3173303604125977,-1.9694323539733887,-2.4985034465789795,1.3938628435134888,-0.21190981359969091,2.905252720856033,-1.6260769015887977,3.0492435535458373,-4.4894184324255644,4.9524193497710822,0.5821966647514631,0,0,,orientation_hard
8,1000,864,-1.0300229148578222,-0.008518396403782574,-0.243702383900924,0.7150869369506836,-0.41349709033966064,0.41212305426597595,0.38448068499565125,238.3071244413578,19.29843292037107,0,0.160312226169,0.00669260576546,1,3.08014178276062,0.9199073910713196,-1.2658430337905884,-2.5819039344787598,2.721832513809204,-4.932863235473633,0.11863715032738303,-3.1692185903284815,-0.92688755076934626,0.92012329765301026,2.1502203549617378,-2.8090109800688441,1.058494506423387,0,0,,orientation_hard
9,1000,317,-1.0196364583815731,-0.46017677695249704,0.800053496903319,-0.28700578212738037,0.22065550088882446,-0.449349045753479,0.8167155385017395,230.21268788873527,6.210720981796943,0,0.209646368407,0.0691855616909,1,-2.9694037437438965,-0.3890995681285858,-0.2724638879299164,1.5558406114578247,-0.7537063360214233,2.3962767124176025,-5.6989684674196646,3.9493023427628073,-0.49024536819877568,4.0891281104504706,4.8723045345173643,1.5250138913218592,1.3753206067003194,0,0,,orientation_hard
10,1000,793,-0.9944635886208801,-0.4208705518554416,0.059957250902834894,0.07247019559144974,0.5910784006118774,-0.5472416877746582,-0.5881334543228149,222.45794055165612,24.337295838410395,0,2.3978883636,0.38181498321,1,-5.582550048828125,3.576965093612671,-1.4414104223251343,-4.78718376159668,-6.068610668182373,-4.2046637535095215,3.3344350476942561,6.1900450805593268,0.21108044849089516,0.46902938558739593,5.4004670031104256,-1.5061390931060727,1.0815196357198738,0,0,,orientation_hard
