precision_mode,fallback_mode,N,target_id,best_seed_id,pos_err_mm,rot_err_deg,success_strict,near_limit
fp64,none,100,23,12,78.552860708,0.667143384446,0,0
fp64,none,100,28,5,57.7569798735,0.100358771072,0,0
fp64,none,100,52,0,15.226736401,0.0667137149439,0,1
fp64,none,100,65,15,28.4715868366,4.06847701594,0,0
fp64,none,500,23,12,78.552860708,0.667143384446,0,0
fp64,none,500,28,5,57.7569798735,0.100358771072,0,0
fp64,none,500,52,0,15.226736401,0.0667137149439,0,1
fp64,none,500,65,15,28.4715868366,4.06847701594,0,0
fp64,none,500,114,8,169.785554775,0.229250302126,0,0
fp64,none,500,143,12,30.1147728605,0.215696527601,0,0
fp64,none,500,161,14,56.525608316,0.025378715616,0,0
fp64,none,500,179,9,37.1450884888,0.000473755977238,0,0
fp64,none,500,196,1,124.653377465,1.51199115752,0,0
fp64,none,500,198,2,96.3984895008,1.3994769726,0,0
fp64,none,500,203,13,37.5816915267,0.000534351461606,0,0
fp64,none,500,209,3,72.1429443579,0.0356581935759,0,0
fp64,none,500,227,14,26.9608905769,0.00629568202453,0,0
fp64,none,500,232,15,3.1128444092,7.64649916293,0,0
fp64,none,500,240,2,84.6337224005,1.68982395489,0,0
fp64,none,500,253,4,84.0109870628,1.76902958632,0,0
fp64,none,500,279,4,120.130557388,2.34412382849,0,0
fp64,none,500,286,4,40.347939491,0.00942752343796,0,0
fp64,none,500,316,3,153.55702271,0.0158296189788,0,0
fp64,none,500,345,2,123.884324846,1.44063033925,0,0
fp64,none,500,367,10,19.4167261108,0.127359339,0,0
fp64,none,500,397,0,71.736658927,3.93095159243,0,0
fp64,none,500,437,2,16.1716782612,0.0504187768726,0,0
mixed_safe,none,100,23,12,78.5683965695,0.67759328292,0,0
mixed_safe,none,100,28,5,57.7559181246,0.100321826952,0,0
mixed_safe,none,100,52,0,15.2271903557,0.0667488687335,0,1
mixed_safe,none,100,65,15,28.5477024301,4.07708287334,0,0
mixed_safe,none,500,23,12,78.5683965695,0.67759328292,0,0
mixed_safe,none,500,28,5,57.7559181246,0.100321826952,0,0
mixed_safe,none,500,52,0,15.2271903557,0.0667488687335,0,1
mixed_safe,none,500,65,15,28.5477024301,4.07708287334,0,0
mixed_safe,none,500,114,8,169.784566035,0.229167733854,0,0
mixed_safe,none,500,143,12,30.7542856705,0.21658771403,0,0
mixed_safe,none,500,161,14,56.5290313686,0.0253826172834,0,0
mixed_safe,none,500,179,9,37.1453319532,0.000474961298478,0,0
mixed_safe,none,500,196,1,124.654424636,1.51188884898,0,0
mixed_safe,none,500,198,2,96.2385777766,1.26562221556,0,0
mixed_safe,none,500,203,13,37.581759827,0.000531354504985,0,0
mixed_safe,none,500,209,3,72.144130441,0.0356535825931,0,0
mixed_safe,none,500,227,14,26.9615234107,0.0062854109003,0,0
mixed_safe,none,500,232,15,3.11256423515,7.64537719101,0,0
mixed_safe,none,500,240,2,84.633626375,1.68979176823,0,0
mixed_safe,none,500,253,4,83.9827694799,1.76588519334,0,0
mixed_safe,none,500,279,4,120.053293926,2.33906228437,0,0
mixed_safe,none,500,286,4,40.3468671367,0.00943385493087,0,0
mixed_safe,none,500,316,3,153.557026545,0.015830982535,0,0
mixed_safe,none,500,345,2,121.672366215,1.18189406133,0,0
mixed_safe,none,500,367,10,19.4162687998,0.127354639029,0,0
mixed_safe,none,500,397,0,72.5089320666,3.30265706563,0,0
mixed_safe,none,500,437,2,16.1578116218,0.0503277229359,0,0
mixed_mid,none,100,23,12,78.5683965695,0.67759328292,0,0
mixed_mid,none,100,28,5,57.7559181246,0.100321826952,0,0
mixed_mid,none,100,52,0,15.2271903557,0.0667488687335,0,1
mixed_mid,none,100,65,15,28.5477024301,4.07708287334,0,0
mixed_mid,none,500,23,12,78.5683965695,0.67759328292,0,0
mixed_mid,none,500,28,5,57.7559181246,0.100321826952,0,0
mixed_mid,none,500,52,0,15.2271903557,0.0667488687335,0,1
mixed_mid,none,500,65,15,28.5477024301,4.07708287334,0,0
mixed_mid,none,500,114,8,169.784566035,0.229167733854,0,0
mixed_mid,none,500,143,12,30.7542856705,0.21658771403,0,0
mixed_mid,none,500,161,14,56.5290313686,0.0253826172834,0,0
mixed_mid,none,500,179,9,37.1453319532,0.000474961298478,0,0
mixed_mid,none,500,196,1,124.654424636,1.51188884898,0,0
mixed_mid,none,500,198,2,96.2385777766,1.26562221556,0,0
mixed_mid,none,500,203,13,37.581759827,0.000531354504985,0,0
mixed_mid,none,500,209,3,72.144130441,0.0356535825931,0,0
mixed_mid,none,500,227,14,26.9615234107,0.0062854109003,0,0
mixed_mid,none,500,232,15,3.11256423515,7.64537719101,0,0
mixed_mid,none,500,240,2,84.633626375,1.68979176823,0,0
mixed_mid,none,500,253,4,83.9827694799,1.76588519334,0,0
mixed_mid,none,500,279,4,120.053293926,2.33906228437,0,0
mixed_mid,none,500,286,4,40.3468671367,0.00943385493087,0,0
mixed_mid,none,500,316,3,153.557026545,0.015830982535,0,0
mixed_mid,none,500,345,2,121.672366215,1.18189406133,0,0
mixed_mid,none,500,367,10,19.4162687998,0.127354639029,0,0
mixed_mid,none,500,397,0,72.5089320666,3.30265706563,0,0
mixed_mid,none,500,437,2,16.1578116218,0.0503277229359,0,0
mixed_aggressive,none,100,23,12,78.553341299,0.66728516341,0,0
mixed_aggressive,none,100,28,5,57.7601221544,0.100480839651,0,0
mixed_aggressive,none,100,52,0,15.2288456542,0.0668563317558,0,1
mixed_aggressive,none,100,65,15,28.4889632869,4.07080060874,0,0
mixed_aggressive,none,500,23,12,78.553341299,0.66728516341,0,0
