trajectory_type,trajectory_id,step,method,delta_q_norm,is_jump
random_local_50,2,22,no-rerank,2.989349558094116,1
random_local_50,2,23,no-rerank,3.5854284197984163,1
random_local_50,2,24,no-rerank,4.03083312363869,1
random_local_50,2,25,no-rerank,3.881894769198147,1
random_local_50,2,26,no-rerank,0.584460034079325,1
random_local_50,2,27,no-rerank,5.062423419420124,1
random_local_50,2,28,no-rerank,3.7392126373232073,1
random_local_50,2,29,no-rerank,3.407539967862424,1
random_local_50,2,30,no-rerank,4.049973431495135,1
random_local_50,2,31,no-rerank,4.815372807400436,1
random_local_50,2,32,no-rerank,2.0987297808206784,1
random_local_50,2,33,no-rerank,3.991994848441696,1
random_local_50,2,34,no-rerank,2.371111971654798,1
random_local_50,2,35,no-rerank,4.829991181925849,1
random_local_50,2,36,no-rerank,4.075495265244602,1
random_local_50,2,37,no-rerank,1.1432489606728782,1
random_local_50,2,38,no-rerank,2.286579979657911,1
random_local_50,2,39,no-rerank,5.454803477714867,1
random_local_50,2,40,no-rerank,5.341929239417088,1
random_local_50,2,41,no-rerank,4.221776412240323,1
random_local_50,2,42,no-rerank,2.337043268098934,1
random_local_50,2,43,no-rerank,4.493404709582995,1
random_local_50,2,44,no-rerank,5.165778256182755,1
random_local_50,2,45,no-rerank,4.233630336107623,1
random_local_50,2,46,no-rerank,2.2769331731357485,1
random_local_50,2,47,no-rerank,4.395463551478176,1
random_local_50,2,48,no-rerank,4.614538175967707,1
random_local_50,2,49,no-rerank,4.634558723394609,1
random_local_50,3,1,no-rerank,5.697319658238156,1
random_local_50,3,2,no-rerank,5.3883017673057205,1
random_local_50,3,3,no-rerank,4.429148691797542,1
random_local_50,3,4,no-rerank,5.5396585714672035,1
random_local_50,3,5,no-rerank,5.5687791777164435,1
random_local_50,3,6,no-rerank,5.641804706409369,1
random_local_50,3,7,no-rerank,4.846384258556918,1
random_local_50,3,8,no-rerank,4.9209555839701515,1
random_local_50,3,9,no-rerank,4.492548888029766,1
random_local_50,3,10,no-rerank,4.762941875307015,1
random_local_50,3,11,no-rerank,3.8404923105507542,1
random_local_50,3,12,no-rerank,4.992169732957523,1
random_local_50,3,13,no-rerank,0.7758715346480298,1
random_local_50,3,14,no-rerank,6.380732144824592,1
random_local_50,3,15,no-rerank,2.893713861783446,1
random_local_50,3,16,no-rerank,4.924223415205801,1
random_local_50,3,17,no-rerank,4.732674455348994,1
random_local_50,3,18,no-rerank,1.274774763099676,1
random_local_50,3,19,no-rerank,4.444618396926285,1
random_local_50,3,20,no-rerank,4.660199502412484,1
random_local_50,3,21,no-rerank,5.501560331001869,1
random_local_50,3,22,no-rerank,0.13490423332645946,0
random_local_50,3,23,no-rerank,0.1587947859739227,0
random_local_50,3,24,no-rerank,6.3571799076219815,1
random_local_50,3,25,no-rerank,5.403340246907972,1
random_local_50,3,26,no-rerank,4.431696854808421,1
random_local_50,3,27,no-rerank,3.909150515425049,1
random_local_50,3,28,no-rerank,4.446728700888019,1
random_local_50,3,29,no-rerank,5.019364022603602,1
random_local_50,3,30,no-rerank,4.633292229411964,1
random_local_50,3,31,no-rerank,4.685157158959111,1
random_local_50,3,32,no-rerank,0.7776101917331789,1
random_local_50,3,33,no-rerank,5.3844778719024,1
random_local_50,3,34,no-rerank,5.359292297011842,1
random_local_50,3,35,no-rerank,3.7281679641511385,1
random_local_50,3,36,no-rerank,4.866812274379128,1
random_local_50,3,37,no-rerank,5.08283500563683,1
random_local_50,3,38,no-rerank,3.6671684621437795,1
random_local_50,3,39,no-rerank,0.5163474710618222,1
random_local_50,3,40,no-rerank,0.4409474342304532,0
random_local_50,3,41,no-rerank,5.718704903211597,1
random_local_50,3,42,no-rerank,4.664783708135018,1
random_local_50,3,43,no-rerank,4.821881968231468,1
random_local_50,3,44,no-rerank,5.629758756462996,1
random_local_50,3,45,no-rerank,4.073446884235317,1
random_local_50,3,46,no-rerank,4.407719948410156,1
random_local_50,3,47,no-rerank,4.191741655623619,1
random_local_50,3,48,no-rerank,5.2661148017098895,1
random_local_50,3,49,no-rerank,4.317588025322914,1
random_local_50,4,1,no-rerank,4.279026114419358,1
random_local_50,4,2,no-rerank,4.268764343946021,1
random_local_50,4,3,no-rerank,4.492681633256437,1
random_local_50,4,4,no-rerank,4.816089613685437,1
random_local_50,4,5,no-rerank,0.3692845888649417,0
random_local_50,4,6,no-rerank,4.886530640111477,1
random_local_50,4,7,no-rerank,4.874103284086471,1
random_local_50,4,8,no-rerank,0.8290479324275101,1
random_local_50,4,9,no-rerank,0.8186425136393332,1
random_local_50,4,10,no-rerank,4.73499294821174,1
random_local_50,4,11,no-rerank,2.896143254812549,1
random_local_50,4,12,no-rerank,2.9983241500535205,1
random_local_50,4,13,no-rerank,4.3540134882609625,1
random_local_50,4,14,no-rerank,0.7409553152039141,1
random_local_50,4,15,no-rerank,2.1542623638097176,1
random_local_50,4,16,no-rerank,4.74108995688194,1
random_local_50,4,17,no-rerank,4.642392864426555,1
random_local_50,4,18,no-rerank,4.682838260174945,1
random_local_50,4,19,no-rerank,2.499413836446843,1
random_local_50,4,20,no-rerank,4.538607132371763,1
random_local_50,4,21,no-rerank,4.1450594162464425,1
random_local_50,4,22,no-rerank,5.514529853446333,1
random_local_50,4,23,no-rerank,5.5281288359258935,1
random_local_50,4,24,no-rerank,5.452448990161031,1
random_local_50,4,25,no-rerank,4.864040974381588,1
random_local_50,4,26,no-rerank,4.754137546746951,1
random_local_50,4,27,no-rerank,0.6474662465564774,1
random_local_50,4,28,no-rerank,4.366297379609225,1
random_local_50,4,29,no-rerank,2.3314742600120595,1
random_local_50,4,30,no-rerank,2.7276295565481736,1
random_local_50,4,31,no-rerank,0.43626059204160644,0
random_local_50,4,32,no-rerank,4.2152508854200965,1
random_local_50,4,33,no-rerank,4.382450663849562,1
random_local_50,4,34,no-rerank,4.150859717142526,1
random_local_50,4,35,no-rerank,1.2002573909261876,1
random_local_50,4,36,no-rerank,4.4671500534663435,1
random_local_50,4,37,no-rerank,4.410118903446752,1
random_local_50,4,38,no-rerank,0.3495464312788508,0
random_local_50,4,39,no-rerank,1.8714804911848808,1
random_local_50,4,40,no-rerank,1.6228629770585505,1
random_local_50,4,41,no-rerank,1.6887387442822668,1
random_local_50,4,42,no-rerank,4.299319801472198,1
random_local_50,4,43,no-rerank,2.3136433669126837,1
random_local_50,4,44,no-rerank,2.243481792670481,1
random_local_50,4,45,no-rerank,4.366960053129319,1
random_local_50,4,46,no-rerank,0.7741316200741574,1
random_local_50,4,47,no-rerank,0.19644613659236124,0
random_local_50,4,48,no-rerank,4.462820768362968,1
random_local_50,4,49,no-rerank,4.551110965500635,1
random_local_50,5,1,no-rerank,5.814581581653332,1
random_local_50,5,2,no-rerank,5.008811486147473,1
random_local_50,5,3,no-rerank,5.183552020021191,1
random_local_50,5,4,no-rerank,5.203535122679737,1
random_local_50,5,5,no-rerank,3.7441197479225337,1
random_local_50,5,6,no-rerank,3.7459343646124936,1
random_local_50,5,7,no-rerank,5.790729574706222,1
random_local_50,5,8,no-rerank,5.019340127730703,1
random_local_50,5,9,no-rerank,5.505229618846157,1
random_local_50,5,10,no-rerank,5.379208659461968,1
random_local_50,5,11,no-rerank,5.409016848407924,1
random_local_50,5,12,no-rerank,5.3428964364274,1
random_local_50,5,13,no-rerank,4.978530977989292,1
random_local_50,5,14,no-rerank,5.008010193031687,1
random_local_50,5,15,no-rerank,5.622890286876289,1
random_local_50,5,16,no-rerank,3.582595823357634,1
random_local_50,5,17,no-rerank,5.083625129852028,1
random_local_50,5,18,no-rerank,5.534275008886081,1
random_local_50,5,19,no-rerank,5.3637291372185985,1
random_local_50,5,20,no-rerank,4.82070848647972,1
random_local_50,5,21,no-rerank,0.34060346704732064,0
random_local_50,5,22,no-rerank,5.202082430543027,1
random_local_50,5,23,no-rerank,5.772353088352979,1
random_local_50,5,24,no-rerank,3.696657972421865,1
random_local_50,5,25,no-rerank,5.045092360078981,1
random_local_50,5,26,no-rerank,5.659724273854981,1
random_local_50,5,27,no-rerank,0.1714871316275059,0
random_local_50,5,28,no-rerank,5.073258993255374,1
random_local_50,5,29,no-rerank,5.557129684566882,1
random_local_50,5,30,no-rerank,3.202402060724156,1
random_local_50,5,31,no-rerank,5.090090208160266,1
random_local_50,5,32,no-rerank,4.948140541655468,1
random_local_50,5,33,no-rerank,5.180011071932985,1
random_local_50,5,34,no-rerank,0.21696607711253124,0
random_local_50,5,35,no-rerank,5.57831853744599,1
random_local_50,5,36,no-rerank,5.251811943093304,1
random_local_50,5,37,no-rerank,3.667355135801556,1
random_local_50,5,38,no-rerank,0.281831004338344,0
random_local_50,5,39,no-rerank,3.7516087459900507,1
random_local_50,5,40,no-rerank,0.33460551180238285,0
random_local_50,5,41,no-rerank,5.2430192286924004,1
random_local_50,5,42,no-rerank,5.349654520142677,1
random_local_50,5,43,no-rerank,5.415459364624407,1
random_local_50,5,44,no-rerank,0.2145995385688269,0
random_local_50,5,45,no-rerank,3.7420196350467045,1
random_local_50,5,46,no-rerank,3.682013869085198,1
random_local_50,5,47,no-rerank,0.7047237329088369,1
random_local_50,5,48,no-rerank,3.7783563840227443,1
random_local_50,5,49,no-rerank,0.11784442993695594,0
random_local_50,6,1,no-rerank,4.79676116294156,1
random_local_50,6,2,no-rerank,3.5235711462035533,1
random_local_50,6,3,no-rerank,5.589749756498055,1
random_local_50,6,4,no-rerank,4.792229907422196,1
random_local_50,6,5,no-rerank,3.796554390897509,1
random_local_50,6,6,no-rerank,4.826331300525005,1
random_local_50,6,7,no-rerank,5.441427186279264,1
random_local_50,6,8,no-rerank,0.12596526907481503,0
random_local_50,6,9,no-rerank,0.3928585246575406,0
random_local_50,6,10,no-rerank,4.07335840893571,1
random_local_50,6,11,no-rerank,4.677186905169518,1
random_local_50,6,12,no-rerank,4.535344318387517,1
random_local_50,6,13,no-rerank,5.9422442033946234,1
random_local_50,6,14,no-rerank,3.5853342735441753,1
random_local_50,6,15,no-rerank,4.53399409532904,1
random_local_50,6,16,no-rerank,3.758131814636382,1
random_local_50,6,17,no-rerank,0.3965489758708183,0
random_local_50,6,18,no-rerank,0.2998409253863746,0
random_local_50,6,19,no-rerank,4.824982815710342,1
random_local_50,6,20,no-rerank,4.951610033255023,1
random_local_50,6,21,no-rerank,3.1578470480239726,1
random_local_50,6,22,no-rerank,5.041305736368905,1
random_local_50,6,23,no-rerank,3.8670732593208346,1
random_local_50,6,24,no-rerank,5.324075590842218,1
random_local_50,6,25,no-rerank,3.498405843001252,1
random_local_50,6,26,no-rerank,4.130606947748979,1
random_local_50,6,27,no-rerank,5.190181062107335,1
random_local_50,6,28,no-rerank,5.617776051235894,1
random_local_50,6,29,no-rerank,5.5270421796790625,1
random_local_50,6,30,no-rerank,5.313517123082953,1
random_local_50,6,31,no-rerank,5.0876587792598365,1
random_local_50,6,32,no-rerank,5.829049975984449,1
random_local_50,6,33,no-rerank,4.56630524025213,1
random_local_50,6,34,no-rerank,0.17930708686791372,0
random_local_50,6,35,no-rerank,6.224357912278573,1
random_local_50,6,36,no-rerank,0.5715811598345706,1
random_local_50,6,37,no-rerank,3.6258494194869733,1
random_local_50,6,38,no-rerank,5.381401907513573,1
random_local_50,6,39,no-rerank,4.843065395250181,1
random_local_50,6,40,no-rerank,4.939102834647893,1
random_local_50,6,41,no-rerank,4.391770424420112,1
random_local_50,6,42,no-rerank,6.0638181837814225,1
random_local_50,6,43,no-rerank,5.165575486959032,1
random_local_50,6,44,no-rerank,0.7144778595331633,1
random_local_50,6,45,no-rerank,5.802559502913699,1
random_local_50,6,46,no-rerank,4.409690728603551,1
random_local_50,6,47,no-rerank,0.16704124310297153,0
random_local_50,6,48,no-rerank,0.37148341150318004,0
random_local_50,6,49,no-rerank,0.12289211745163965,0
random_local_50,7,1,no-rerank,0.2532226635979002,0
random_local_50,7,2,no-rerank,4.37433945922004,1
random_local_50,7,3,no-rerank,0.9466231847940828,1
random_local_50,7,4,no-rerank,4.637973723496654,1
random_local_50,7,5,no-rerank,4.3083023579386595,1
random_local_50,7,6,no-rerank,4.3210598497078925,1
random_local_50,7,7,no-rerank,3.4573338016329433,1
random_local_50,7,8,no-rerank,3.6476113313067917,1
random_local_50,7,9,no-rerank,4.0863522734004984,1
random_local_50,7,10,no-rerank,1.2776268513747793,1
random_local_50,7,11,no-rerank,4.435908924797426,1
random_local_50,7,12,no-rerank,0.9330540967439349,1
random_local_50,7,13,no-rerank,4.90569196059885,1
random_local_50,7,14,no-rerank,1.6364710665713316,1
