target_id,sorted_target_rank,seed_id,rank,pos_err_mm,rot_err_deg,pose_cost,total_loss,success_loose,success_medium,success_strict
878,0,0,0,91.0365716749,2.74342693683,0.0105803272980078,0.0052901636490039,0,0,0
878,0,1,0,173.831063114,5.7114771861,0.0401541547173653,0.0203041473586826,0,0,0
878,0,2,0,216.858012667,1.46351142481,0.047679847257948,0.023839923628974,0,0,0
878,0,3,0,217.00587826,17.0888882601,0.1360490073602182,0.0682515736801091,0,0,0
878,0,4,0,216.95419588,0.216638967213,0.0470834195493336,0.0235417097746668,0,0,0
878,0,5,0,199.026566127,4.04060394706,0.0445849043144167,0.0225043179292993,0,0,0
878,0,6,0,220.515777542,6.08907637705,0.0599214628686327,0.0299607314343164,0,0,0
878,0,7,0,160.501010016,14.2218196649,0.0873725406305813,0.0436862703152906,0,0,0
878,0,8,0,76.4398727025,46.0766298196,0.6525628387305372,0.3267752807505569,0,0,0
878,0,9,0,161.759737326,0.949333644026,0.0264407443073693,0.0132203721536846,0,0,0
878,0,10,0,805.044663879,52.7185325657,1.4947029483456062,0.7478056141728031,0,0,0
878,0,11,0,431.277588749,4.58620877498,0.1924074714615333,0.0962037357307666,0,0,0
878,0,12,1,11.3012575997,0.0157925473698,0.0001277943963063,6.389719815316896e-05,1,0,0
878,0,13,0,75.307105535,0.000729953235664,0.0056711603063649,0.0028355801531824,0,0,0
878,0,14,2,5.71403183763,0.0159265859999,3.272742792087399e-05,0.000140351492193,1,1,0
878,0,15,0,240.393439634,10.6627360278,0.0924221603446798,0.046411224618641,0,0,0
901,1,0,0,123.915411565,0.324276861919,0.0153870614153375,0.0079041065409982,0,0,0
901,1,1,0,65.0567931942,0.000396215532002,0.0042323863885275,0.0021161931942637,0,0,0
901,1,2,0,261.987697656,5.80546119937,0.0789041902969228,0.0394520951484614,0,0,0
901,1,3,0,249.905426294,3.48106435198,0.0661440178092742,0.0330720089046371,0,0,0
901,1,4,0,41.9087980951,0.0121094223682,0.0017563920263022,0.0008781960131511,0,0,0
901,1,5,0,1297.56674651,32.0114298071,1.995830569289169,0.9983694246445844,0,0,0
901,1,6,0,1235.75959363,36.5147607128,1.9332566321649896,0.9669281622992224,0,0,0
901,1,7,0,109.071027736,29.2244005511,0.2720597447059157,0.1360298723529578,0,0,0
901,1,8,0,60.4268204267,0.000628118592645,0.0036514007470587,0.0018257003735293,0,0,0
901,1,9,0,992.404152275,47.1269895888,1.6614070187718883,0.8307035093859441,0,0,0
901,1,10,1,14.4280129279,0.000466041817994,0.0002081676232101,0.000104083811605,1,0,0
901,1,11,0,94.4419497693,0.0104580170543,0.0089193151922755,0.0044596575961377,0,0,0
901,1,12,0,256.499141264,4.71941619635,0.0725765195188463,0.0362882597594231,0,0,0
901,1,13,0,1282.52883495,56.3524007386,2.612221179443261,1.306345822665536,0,0,0
901,1,14,0,219.456655503,16.3363386562,0.1294562901929814,0.0647281450964907,0,0,0
901,1,15,0,102.456606251,20.3390703002,0.136510814337242,0.068255407168621,0,0,0
869,2,0,0,210.554198258,6.66899989415,0.057881100609322,0.028940550304661,0,0,0
869,2,1,0,209.698602141,0.410671509762,0.0440248777993545,0.0220124388996772,0,0,0
869,2,2,0,220.399863506,34.54962031,0.4121906833016908,0.2065494816508454,0,0,0
869,2,3,0,537.774850895,28.1013843413,0.5297544509060315,0.2653313654530157,0,0,0
869,2,4,0,78.4207413327,0.0718036352287,0.0061513832061051,0.0030756916030525,0,0,0
869,2,5,0,81.073872786,0.190188770411,0.0065839913992796,0.0032919956996398,0,0,0
869,2,6,0,157.352200701,1.80882420727,0.0257563760511882,0.0128781880255941,0,0,0
869,2,7,0,104.609485998,0.000304070366282,0.0109431445889773,0.0054715722944886,0,0,0
869,2,8,0,157.284925466,0.206738217604,0.0247515673377715,0.0123757836688857,0,0,0
869,2,9,0,208.157364268,25.6417384034,0.2436150605340924,0.1218075302670462,0,0,0
869,2,10,0,1322.24931007,54.4203205209,2.6504894415116924,1.32541152504628,0,0,0
869,2,11,0,136.098908426,0.0230145096658,0.0185230742206426,0.0092615371103213,0,0,0
869,2,12,0,1151.04165907,5.72833105059,1.3348925488739252,0.6679004144369625,0,0,0
869,2,13,0,79.6100955247,0.000224030313869,0.0063377673247425,0.0031688836623712,0,0,0
869,2,14,0,175.685411025,0.329585693234,0.0308984532410305,0.0154492266205152,0,0,0
869,2,15,1,26.5458054722,0.000544489148904,0.0007046798784783,0.0003523399392391,1,0,0
966,3,0,0,73.8008704783,9.4466054785,0.032630125949689,0.0163150629748445,0,0,0
966,3,1,0,705.214980012,38.7961213477,0.9558197362668232,0.4783640081334115,0,0,0
966,3,2,0,160.76500899,31.6432390435,0.3308571586568595,0.1654413758658465,0,0,0
966,3,3,0,35.4100138195,0.0379307158981,0.0012543073437218,0.0006999559529532,0,0,0
966,3,4,0,87.4416118433,2.81401775823,0.010058208208193,0.0050291041040965,0,0,0
966,3,5,0,415.631418346,15.2108219075,0.2432285351208767,0.1216144456620738,0,0,0
966,3,6,0,58.3718508276,3.42988226421,0.006990820425711,0.0034954102128555,0,0,0
966,3,7,0,72.0923896902,10.0541424324,0.0359898021477029,0.0179949010738514,0,0,0
966,3,8,0,83.3977932501,3.83205735854,0.011428396254995,0.0057141981274975,0,0,0
966,3,9,0,89.9887322073,13.1690955865,0.06092627188332,0.03046313594166,0,0,0
966,3,10,0,54.4923805119,5.66504782161,0.0127454353567281,0.006372717678364,0,0,0
