epsilon,N,mean_relative_error,median_relative_error,p95_relative_error,max_relative_error,success_rate,throughput_targets_per_s
0.0001,500,0.0007881792245212489,0.0008086052954846347,0.0010250546384823523,0.0011857040798887717,1.0,0.0
1e-05,500,0.0019912316382325467,0.0019460482874013292,0.002726306184122799,0.003622798857816862,1.0,0.0
1e-06,500,0.04244683934267338,0.04248375337953059,0.050994047148862666,0.06444522463310672,1.0,0.0
1e-07,500,0.6841679869743822,0.7010905262798244,0.9098868348348979,1.0,1.0,0.0
