target_id,seed_id,q0,q1,q2,q3,q4,q5,pos_err_mm,rot_err_deg,pose_cost,limit_score,total_loss,iters,success_loose,success_medium,success_strict,near_limit
0,0,-2.1157889455746881,-1.0678594469375524,-0.67700171730584469,-3.5044938180474605,4.2734951952778193,2.802139019955292,0.0854501641438,0.858630165293,0.00022458520311919211,0,0.00011229260155959606,16,1,1,1,0
0,1,6.2831853071795862,4.3120973351551743,0.86253472510250495,-5.393353640688777,1.4529763802031486,-0.58344638758448664,317.801026214,28.6847710498,0.35164160661237981,0.0075689999999999993,0.1760478733061899,60,0,0,0,1
0,2,3.2900203559166159,4.7166998026499476,0.040210871476672058,1.5265548516443734,-0.82690642483624466,-0.86656806305179979,116.389984528,2.76562803411,0.015876555276756122,0,0.007938277638378061,60,0,0,0,0
0,3,3.3592512940184531,-1.3333170696673426,-0.37006496048418525,-4.2448442090515419,-0.99674660867301856,-0.92449816041931232,95.8916179058,7.5106304805,0.026378540114657883,0,0.013189270057328941,60,0,0,0,0
0,4,2.6868565333508929,-1.3556700602849521,-0.44964796110568866,-4.0764778059262285,-1.7582355916426911,5.8899799484971735,87.7839469091,11.3123410127,0.046687625957297856,0,0.023343812978648928,60,0,0,0,0
0,5,-3.82383645774819,4.8276546456786571,-0.8047926675482775,-5.5855465076544579,6.2831853071795862,-5.8529350363121102,233.889583953,57.0096910006,1.044742896404206,0.0075689999999999993,0.52259851820210301,60,0,0,0,1
0,6,-6.2831853071795862,-6.2831853071795862,-2.0032642232953899,5.307771320713619,-5.3490866098257976,0.93588549023087741,619.134601411,55.5389986378,1.3229445680026815,0.015137999999999999,0.66192642400134072,60,0,0,0,1
0,7,0.06599563531765934,3.9434122839687951,1.7521334789563485,-2.642971487028388,5.5199571453411167,-5.1045502012218433,419.324589581,56.9756680113,1.1646903266345878,0,0.58234516331729391,60,0,0,0,0
0,8,4.4640482702974262,4.2901313453715861,0.78860817003150208,0.029133014945441838,2.2831213097401006,1.0239556290408207,0.115952872929,0.937035822893,0.00026747854649967692,0,0.00013373927324983846,20,1,1,1,0
0,9,-2.7276718438400809,-1.5289373931854742,-0.040636415893569811,-4.6869055661057004,-0.35668688172072893,5.3016139850857948,126.574542627,11.7045888215,0.057752909188255264,0,0.028876454594127632,60,0,0,0,0
0,10,-3.0551115351831877,-2.2779746430047583,1.2531283403343021,3.7319204110571724,-1.6455526056684198,-6.2831853071795862,42.7187233111,39.953848093,0.48808871582849633,0.0075689999999999993,0.24427142791424816,60,0,0,0,1
0,11,-2.2248659531939983,-1.1828800726044753,-0.99467012984805103,-5.546176427389522,-4.1624569192400411,-1.1609689641361105,21.4145326578,50.599051632,0.78035960379814884,0,0.39017980189907442,60,0,0,0,0
0,12,5.8892016092431998,-6.2831853071795862,3.1415926535897931,-6.0967444631970205,-3.6713668159556825,-0.67811509225960509,1007.34552889,11.7117116013,1.0565276157935053,0.015137999999999999,0.52871794789675264,60,0,0,0,1
0,13,-2.5704267413321169,5.325509924218693,-1.0595831073303899,3.6464937642493558,-1.8575375582143969,3.9376390027054762,2.62897323996,0.0292258441688,7.171689255596888e-06,0,3.585844627798444e-06,53,1,1,1,0
0,14,3.9362982269715245,5.0868028389845499,-0.98417438323717721,0.73735468821709238,1.8673410742678871,0.80064175138420146,3.78597004774,0.036568534021,1.4740921186602362e-05,0,7.3704605933011809e-06,17,1,1,1,0
0,15,-1.9661652739705906,-1.8941305205140886,0.64248080674690256,6.2831853071795862,0.0071144478066550521,6.2831853071795862,144.82104985,15.470830391,0.093882278070356123,0.015137999999999999,0.04739527903517806,60,0,0,0,1
1,0,-2.5049843773133542,-4.289866236875377,1.2631112877386748,2.7076684918278864,2.8042413299439488,-4.1258030160387449,0.0704365239983,0.0193127271256,1.1857794445182998e-07,0,5.928897222591499e-08,14,1,1,1,0
1,1,-5.9359609539369211,1.0956207124704802,-1.1885608977435376,-6.047863040855618,-1.8166132004479862,1.9531142655187599,0.0109622159752,0.265079580916,2.1404728522496541e-05,0,1.0702364261248271e-05,21,1,1,1,0
1,2,-2.5063059132595611,2.8979214618018752,-0.86518909498396257,-4.3154871212164343,3.2632720029241051,2.9302655402156241,3.5313476268,1.88314506249,0.0010927154711431822,0,0.00054635773557159108,60,1,1,0,0
1,3,3.7709724703815448,1.8371760481811228,1.0996670714158099,6.2831853071795862,3.0282015607703987,-1.5269426328184841,2.84043111192,0.944306158261,0.00027969970348488922,0.0075689999999999993,0.00036691985174244459,9,1,1,1,1
1,4,3.7783989971284253,-3.0124991786866042,-1.429287603526777,4.6561535833773711,-3.4840977739946428,1.623191864359333,0.603017998829,0.930233048594,0.00026395929625503106,0,0.00013197964812751553,13,1,1,1,0
1,5,3.7752140777560554,-4.524534376802694,1.233732133904256,-0.32893546606139351,-3.3924552872814377,-0.97355261484223399,1.38348129582,0.427789406489,5.7660158644770518e-05,0,2.8830079322385259e-05,8,1,1,1,0
1,6,0.19634901835730229,1.2355430018810936,-1.3908923860161966,0.61731333923433362,-6.2831853071795862,-5.0542629288037162,4.2904836992,0.812430107734,0.00021946874848921557,0.0075689999999999993,0.00033680437424460775,21,1,1,1,1
1,7,-2.4711740846717976,-4.3335294716434145,0.93126608793556309,6.2521512032731179,-2.3293353777710579,5.1854998871533722,7.64705371761,0.260012867529,7.9071606418235535e-05,0.0031321815255519834,0.00013350124897567727,60,1,1,0,1
1,8,-0.34197278705625433,5.9552680222425671,-3.1415926535897931,-3.0930991421418823,4.3794527965566372,5.4154422430276457,819.843058252,40.2172193975,1.1648383899626347,0.0075689999999999993,0.58264626498131733,60,0,0,0,1
1,9,3.8569817823443038,1.9783671670359793,1.341200172888863,3.1879919457481307,1.8779482231959874,-4.7124663590262275,0.0366264049038,0.607642194666,0.00011247493797531499,0,5.6237468987657497e-05,16,1,1,1,0
1,10,-2.5105470664701168,-4.5384177354083741,1.2643912757771059,-0.50560507233380214,2.9900591910373837,-1.1578403853374859,1.56887493596,0.805730857035,0.00020021967190657147,0,0.00010010983595328573,20,1,1,1,0
1,11,-6.0487896100131602,1.1504475305732964,-1.2687120980884661,0.33180924784098698,5.427390012220739,-3.8761327250508519,3.65039860987,0.522189272607,9.6388986522153559e-05,0,4.8194493261076779e-05,15,1,1,1,0
1,12,-2.4107258275327679,-4.1566126068274896,0.88981865607254462,2.3717827678978654,-4.5340784447004987,2.6143796966505968,0.000571801209826,0.55869448399,9.5083137484882349e-05,0,4.7541568742441175e-05,18,1,1,1,0
1,13,3.7717471983063677,-4.4861125043558792,1.1620224461804196,-0.35385286835025598,-3.0563866699732936,-5.793736185433259,4.49141830045,0.981611686734,0.00031369045736153958,0,0.00015684522868076979,33,1,1,1,0
1,14,3.8541842081923781,2.8241394509548234,-0.95825298715392537,0.63361449763602506,4.4287301586068866,-6.2831853071795862,4.16417861017,25.8001944981,0.20278593687363841,0.0075689999999999993,0.1016200384368192,60,0,0,0,1
1,15,0.20992731977775014,1.2243959297253861,-1.3938995085217525,-6.0745997777870864,-0.55877526750116313,2.1249745267792988,0.12648580031,0.144150603979,6.3457648430528777e-06,0,3.1728824215264388e-06,11,1,1,1,0
2,0,2.1953710511345217,-3.6591682812349995,0.20576514812072794,-3.0533417539974193,-4.5089332000829705,2.222019000087414,137.761694812,0.233198076397,0.018994850061810016,0,0.009497425030905008,60,0,0,0,0
2,1,5.1449126856634759,0.50347799638897994,-0.14874262998452314,0.22375796858264232,-2.8667594679807555,6.2831853071795862,119.338953145,3.43126075682,0.017828214276686172,0.0075689999999999993,0.0091411771383430856,60,0,0,0,1
2,2,-1.1525981006688626,0.60175293428855403,0.030878154614238817,3.3340052688620863,2.6955830769664653,-1.068308992907171,87.1180213997,0.179162573621,0.0075993276365426297,0,0.0037996638182713149,60,0,0,0,0
2,3,-1.1455695648899491,-5.7213231783153526,-0.17809096230300892,1.0631054638827768,3.2712833493698983,-3.1729780126366949,184.099087804,4.6107355417,0.040368299984561679,0,0.020184149992280839,60,0,0,0,0
2,4,-6.2831853071795862,2.008697403284406,-3.1156039508633784,-5.0390777259752397,-2.0349833048540926,1.7769869343288156,1343.75396339,4.37402172931,1.8115026747364429,0.011291378395005791,0.90609007872007163,60,0,0,0,1
2,5,-4.020865156756094,2.8326748886339619,-0.31636845969208149,2.9334103845020483,-5.3316802799506329,0.92817417452039275,185.654993274,0.329135424429,0.034500775771505433,0,0.017250387885752717,60,0,0,0,0
2,6,-6.2831853071795862,6.2831853071795862,2.0181688398731525,1.4708357884177958,5.0284944604185897,1.4088860677692394,1176.75280098,38.5561593872,1.8375845346433615,0.015137999999999999,0.91924640732168073,60,0,0,0,1
2,7,-1.155790537421602,6.1529368041231818,0.46352097191890351,-0.59594810374984797,3.5672429422764944,2.7992199820728265,400.254651602,13.5561708793,0.21618325896885171,0,0.10809162948442586,60,0,0,0,0
2,8,2.2845393176792674,2.7535261324566656,-0.44992541118765345,6.1951627198416306,0.5660967471387236,-1.4266733341023907,0.014228339219,0.864057064373,0.00022742592632087814,0,0.00011371296316043907,35,1,1,1,0
2,9,-4.0285122799457787,2.4305404694263157,0.17169428302682199,-0.23779623193062127,5.2311419713655498,4.3036656580471906,122.945252879,0.00521085880646,0.015115543476663161,0,0.0075577717383315804,60,0,0,0,0
2,10,5.1374038767090191,-5.9297457906777318,0.43173364793936403,4.161079831058542,-3.3278384835891286,-6.0512969244872687,0.66540515386,0.162049988886,8.4420780501297187e-06,0,4.2210390250648593e-06,10,1,1,1,0
2,11,-1.1542268030853755,0.34236036444785839,0.19800834520378438,0.12590379750619229,3.6165173405787239,2.373587750586061,146.613975161,1.16759775517,0.021910937924685479,0,0.01095546896234274,60,0,0,0,0
2,12,2.2954329037252799,2.7081361797612491,-0.044338578621747615,2.7133828284042374,-6.0372360312233351,2.7675206863427881,122.244917514,0.579665910126,0.015046175139342581,0,0.0075230875696712905,60,0,0,0,0
2,13,2.2484787143628222,-3.7475942006380163,0.34384096611780141,-3.399293418459298,1.1368269081708748,1.8069166874581182,169.533073165,0.228552404044,0.028757374953741442,0,0.014378687476870721,60,0,0,0,0
2,14,2.3015098788086723,-3.3732596770728893,-0.65420797546477516,5.2264578825547616,-6.2808146917646264,-6.2082186816185558,4.32346419607,0.384694279889,6.377257986656702e-05,0.0073069348356310749,0.00025109433500221574,43,1,1,1,1
2,15,5.0568031631989792,0.58005735026324678,-0.26941999422227575,-5.9244219710900712,-1.5989666920885026,1.6774888478641667,192.644949712,2.03041244415,0.038367884715546502,0,0.019183942357773251,60,0,0,0,0
3,0,5.277641004206771,2.6302758875197587,-2.2119653362935714,-3.5538819845672491,-0.41640615250016316,-3.6830106248922352,9.64882073612,0.0338952207567,9.3449712283725985e-05,0,4.6724856141862992e-05,60,1,1,0,0
3,1,5.8244380941603993,6.0625740213177446,2.4014483284609147,-1.867035018756829,4.9866035511823341,-2.3324721173191523,0.0174515647667,0.583840162946,0.00010383504213382666,0,5.1917521066913329e-05,11,1,1,1,0
3,2,-2.216679113760252,-5.2589132538809729,2.5409118005022031,2.8890960195488025,-3.6167081407154242,3.907691464042987,44.0917182544,4.70851449467,0.008697480941368756,0,0.004348740470684378,60,0,0,0,0
