target_id,best_seed_id,pos_err_mm,rot_err_deg,pose_cost,limit_score,total_loss,iters,success_loose,success_medium,success_strict,near_limit,q0,q1,q2,q3,q4,q5
0,13,2.6289732370982017,0.029225844112385085,7.171689239547995e-06,0.0,3.5858446197739973e-06,53,1,1,1,0,-2.5704267411392645,5.325509924231001,-1.059583107297969,3.646493764151901,-1.8575375582240168,3.9376390025107497
1,0,0.07043652399845614,0.019312727125611755,1.1857794445195742e-07,0.0,5.928897222597871e-08,14,1,1,1,0,-2.504984377313354,-4.289866236875377,1.2631112877386752,2.7076684918278864,2.8042413299439484,-4.125803016038744
2,10,0.6654051538607005,0.16204998888549835,8.442078050114982e-06,0.0,4.221039025057491e-06,10,1,1,1,0,5.13740387670902,-5.929745790677795,0.4317336479394538,4.161079831058683,-3.3278384835890664,-6.051296924487619
3,7,0.7463376763795767,0.10598296911347246,3.978601508463071e-06,0.0,1.9893007542315353e-06,60,1,1,1,0,-1.0893133453613137,-6.103296556996376,2.6177240981764403,3.5045612424404866,5.687713314213278,4.397041097415088
4,2,0.09105776797929042,0.43694335750454544,5.816569628351053e-05,0.0,2.9082848141755263e-05,23,1,1,1,0,-2.147588062565695,-0.41934837376403183,0.34824280665459145,5.448004367622301,-4.523768912701785,-0.7088199934919156
5,2,0.06401892044933302,0.06945603218906148,1.473615625781092e-06,0.0,7.36807812890546e-07,16,1,1,1,0,3.1350171003479668,-5.836835056785427,-1.7645930718284102,5.513207526266782,-5.856352732751855,-4.701459053904923
6,4,0.023690155350341455,0.04228478958272191,5.452182148936826e-07,0.0,2.726091074468413e-07,32,1,1,1,0,5.2243972028970385,-4.711149383328838,1.5831053518177949,-1.2780949787150353,-1.1507364087394398,-3.91356256589541
7,2,0.04785562960914973,0.054581535137601105,9.097893130298088e-07,0.0,4.548946565149044e-07,17,1,1,1,0,4.044124958318088,1.3638989126603647,1.2063242860834569,-0.8450733746522023,-1.3306249311650251,-2.579585851409052
8,8,0.15678529869447003,0.0204899932322912,1.524721533889114e-07,0.0,7.62360766944557e-08,10,1,1,1,0,-5.064150066209451,-4.631520455380538,2.793628763765359,-0.8529511106378679,-4.459474314167879,2.7808066920756276
9,15,0.1762225955873187,0.02459086161541676,2.1525974780454712e-07,0.0,1.0762987390227356e-07,17,1,1,1,0,-3.2873153650677023,2.3527386069856813,-2.882093108891398,5.158883475370695,1.8027661801872292,1.9010435354789188
10,6,0.6519989191442249,0.1281536548684892,5.427943911404371e-06,0.0,2.7139719557021854e-06,38,1,1,1,0,6.142337871514087,-5.832163161037747,-2.9561714082713624,-3.442651579453961,4.146877445760743,-4.824031173268176
11,14,0.10016654065152236,0.03339185829798897,3.496866939111041e-07,0.0,1.7484334695555204e-07,25,1,1,1,0,0.647007191069293,2.095151210753566,2.871812723734453,-2.0259938273569373,-1.6598151263373173,-5.509982765706102
12,7,3.242201487855963,0.08781957728052696,1.2861164759722188e-05,0.0,6.430582379861094e-06,54,1,1,1,0,4.5642452446754405,-4.549253048115717,2.605092471328133,5.217168837341518,-3.0809597914802924,2.835079463992856
13,13,0.029112107823766192,0.0003581548686483828,8.865895940308301e-10,0.0,4.4329479701541505e-10,42,1,1,1,0,-1.0515130195470692,4.2908414890926,1.9919478232616914,-0.8762854914544745,1.6968723304516313,5.621590922857215
14,2,0.04584304246877711,0.15226902242024787,7.064916967708787e-06,0.0,3.5324584838543936e-06,12,1,1,1,0,-4.603741866879529,0.5066478094602453,-1.4802503244723515,5.316920425073762,-4.278889138053288,1.4781190613092803
15,2,0.11325000285587737,0.17562461755902956,9.408447175931006e-06,0.0,4.704223587965503e-06,28,1,1,1,0,5.237636439462826,-0.7729501463094763,0.8350721498714624,-2.5844832420496284,-0.26807841182016967,-0.0942577627111241
16,6,0.026716659113366133,0.14885883680678305,6.750716957913967e-06,0.0,3.3753584789569836e-06,24,1,1,1,0,-0.04771817128487297,0.5423564862827651,-1.4713376216096916,-3.5083145030613845,5.091840057002057,1.8427352023593022
17,6,0.02615555182950553,0.01771504272106967,9.627998579707678e-08,0.0,4.813999289853839e-08,15,1,1,1,0,-1.8697635468880593,-3.044663657143528,2.3203970328928136,-3.8030636342282116,4.694017935781145,-2.6632122385039403
18,6,0.14657538610151072,0.03441811641670383,3.8233619170294345e-07,0.0,1.9116809585147173e-07,27,1,1,1,0,1.245539876994597,4.582912702416144,-1.4614732743083305,3.900532978813325,-0.9400706269940154,5.578918999702566
19,13,0.017121324509438568,0.8442969690329799,0.0002171429741010367,0.0,0.00010857148705051835,38,1,1,1,0,-3.0024056898753746,0.16656797500095055,0.7676274928593626,5.27611769012233,-4.717979808988899,1.6912118266319907
20,4,0.058651102165408975,0.00044500464050763845,3.5002749078627867e-09,0.0,1.7501374539313933e-09,32,1,1,1,0,-2.2978400963832653,2.6057076294105674,2.58535738865775,5.194586587460026,-5.200091306821636,0.8511425952988934
21,7,0.5604111852161222,0.06261814488983168,1.5084753684102943e-06,0.0,7.542376842051472e-07,7,1,1,1,0,-3.454736774101865,2.979721220942015,1.9647404727277877,-2.2599615126628287,-3.2466429523324347,5.523737597725615
22,8,0.051544020227373644,0.4036570836961546,4.9636727104394215e-05,0.0,2.4818363552197107e-05,19,1,1,1,0,-3.651242236818324,-0.4348136482318505,-0.27319389168691965,-1.3205361617315432,1.8369219642787418,3.388030644567283
23,12,78.55286070800862,0.6671433844613344,0.006306131136603757,0.0,0.0031530655683018787,60,0,0,0,0,-1.1803307008075792,-0.4019554445584191,-2.2930555362042635,-0.7401927496798348,-1.662651670099267,2.1238503026188718
24,15,0.8646697993338399,0.0026783563799038595,7.498390632391424e-07,0.0,3.749195316195712e-07,21,1,1,1,0,4.280998409596596,-5.706529320145168,2.8825218973625626,-2.4520751591110543,-1.299432106154475,-2.694071016136175
25,1,0.1346568627864542,0.04406955781907292,6.097378592867677e-07,0.0,3.0486892964338387e-07,12,1,1,1,0,-3.8159639014956603,-2.4975864750660968,-1.2037429709342333,1.935528035704878,-4.659012834184221,2.6405634497575714
26,14,0.6677080924206966,0.06513829687587414,1.7383251142777169e-06,0.0,8.691625571388584e-07,16,1,1,1,0,-2.228332093738146,-3.2428577303034536,2.554359954741913,-2.3232758766661408,-1.8843133691989375,2.0914496727643543
27,0,0.027306460416893025,0.5082093488771873,7.867634046891171e-05,0.0,3.9338170234455854e-05,53,1,1,1,0,2.2676012247322808,2.21325089458638,0.11226286604929664,6.083038373372071,5.371196759825699,-1.464268195631969
28,5,57.75697987346519,0.10035877107157402,0.003338936795094697,0.0,0.0016694683975473485,60,0,0,0,0,-1.5344604104508233,-4.170946370033742,-1.0421235325013722,-4.248181657751767,4.701680529612047,-3.168019178740516
29,5,0.225264510975909,0.773454750771117,0.00018228270898210748,0.0,9.114135449105374e-05,35,1,1,1,0,-4.945526034797165,0.33971150222356744,-2.8682364057402494,3.1028144004763027,4.1127891715236125,5.93044860511208
30,14,0.044119676049576055,0.003622497980205718,5.943885352139267e-09,0.0,2.9719426760696335e-09,23,1,1,1,0,2.273488907256472,-2.5057126692397267,2.0870737612954646,5.0733798140699315,1.3897162182481553,-3.6887993016140648
31,15,0.7072178727721152,0.007935594558132636,5.193399936939367e-07,0.0,2.5966999684696834e-07,30,1,1,1,0,5.215629446213413,-2.2057389165406702,3.0300020669479055,2.9804205624699907,1.7474269505777538,-0.3100391290080985
32,0,0.0344775199283341,0.00016503911016486653,1.1969965216286908e-09,0.0,5.984982608143454e-10,60,1,1,1,0,-3.7962194778951734,-2.8428963729615164,2.323800790521842,-4.089940116785183,-1.5240672650104232,5.429586299854674
33,14,4.976252665899487,0.010252800311483923,2.479511195191183e-05,0.0,1.2397555975955915e-05,14,1,1,1,0,5.946521189300883,2.042777390664944,-2.9646796683371432,1.2148853651071982,-1.5507060105450932,1.4918728508029926
34,13,0.015205016810568598,0.0007170132044120197,3.8779876895299515e-10,0.0,1.9389938447649758e-10,22,1,1,1,0,0.767077882946112,2.9476551892685885,-2.3465498281835906,1.2304228168116862,4.629668120746025,-5.120140143037263
35,6,0.21225042595971108,0.06055738180937703,1.1621421764441722e-06,0.0,5.810710882220861e-07,16,1,1,1,0,0.5030748269568921,-4.362419567289868,2.5263158678622406,-5.955767542051836,-4.199215147256222,3.7972073414863754
36,7,0.17402964474178997,0.0017182687427433614,3.118568418001805e-08,0.0,1.5592842090009025e-08,13,1,1,1,0,-4.773439148134742,-5.757521082044848,1.4581586028011597,4.281169034733443,3.924467159996607,-0.7290310818909246
37,3,0.10305489976248323,0.10784250464374341,3.5533226736524385e-06,0.0,1.7766613368262192e-06,15,1,1,1,0,-0.8177371745712044,4.018535313223584,-2.556741001018882,-4.6650815704500594,-1.6366774239899846,2.148869537490855
38,14,0.09322632744406177,0.002985704394458472,1.1406639016878986e-08,0.0,5.703319508439493e-09,25,1,1,1,0,0.08607487227599286,-0.7897561252251458,-2.4051418781623717,-1.8751686358258532,-0.4533479343785253,-3.9657761461811734
39,1,0.3892393683606916,0.007907782486572052,1.7055593425998134e-07,0.0,8.527796712999067e-08,32,1,1,1,0,-3.4094166164925666,1.0081830701392338,0.7782648161834603,-4.331395496948731,-4.000373020410631,-2.596141350072746
40,2,0.09777033581259996,0.15703036613439728,7.520978616577679e-06,0.0,3.7604893082888395e-06,13,1,1,1,0,2.256936644898924,-0.4874016034438972,-0.767519609310487,-1.8237214045643544,-5.0553746963798725,-1.1441601463755044
