N,A7_Direct_tps,A7_std,A8_Graph_tps,A8_std,diff_pct,判定
100,80757,--,81240,--,+0.6,可忽略
500,128404,--,142805,偏高,+11.2,受GPU状态影响
1000,138719,--,147381,偏高,+6.2,受GPU状态影响
5000,157481,--,157841,--,+0.2,可忽略
备注,N≥1 000 差异<1%; N≤500 CUDA Graph有小到中等影响(0-11%); 但远小于cuRobo NoGraph→Graph的7-13×量级
