Method,N,pos_mean_mm,pos_p50_mm,pos_p95_mm,rot_mean_deg,rot_p50_deg,rot_p95_deg
CUDA-Mixed,500,4.34,3.81,9.19,0.177,0.121,0.541
cuRobo-Graph,500,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001
