experiment_name,run_id,process_mode,order_mode,cache_policy,N,max_batch_size,actual_batch_size,repeat,warmup,use_cuda_graph,host_wall_mean_ms,host_wall_std_ms,host_wall_min_ms,host_wall_max_ms,host_wall_median_ms,throughput_mean_tps,conv_rate,memory_allocated_before,memory_allocated_after,memory_reserved_before,memory_reserved_after,max_memory_allocated,max_memory_reserved,num_cuda_malloc_events,num_cuda_free_events,num_cuda_sync_events,notes
phase1_ordered,0,single_process,ordered,keep_cache,100,100,100,30,3,False,30.802540938990813,2.177959662476191,28.123063006205484,37.38308700849302,29.936252991319634,3246.4854181369465,1.0,13.4296875,13.45263671875,30.0,30.0,13.7333984375,30.0,nan,nan,nan,
phase1_ordered,1,single_process,ordered,keep_cache,500,500,500,30,3,False,30.484567502086673,1.4029683910358492,28.68108102120459,33.59834701404907,30.005630003870465,16401.741634214588,1.0,36.4853515625,36.583984375,50.0,50.0,37.900390625,50.0,nan,nan,nan,
phase1_ordered,2,single_process,ordered,keep_cache,1000,1000,1000,30,3,False,32.00543126828658,2.6508429814717887,28.404934011632577,44.36644201632589,31.77190500719007,31244.696927139245,1.0,81.21826171875,81.4130859375,100.0,100.0,84.0146484375,100.0,nan,nan,nan,
phase1_ordered,3,single_process,ordered,keep_cache,2000,2000,2000,30,3,False,31.86736066903298,1.3246523100537768,28.590168978553265,34.57321401219815,32.130841005709954,62760.139465942484,1.0,171.15966796875,171.54736328125,200.0,200.0,176.74755859375,200.0,nan,nan,nan,
phase1_ordered,4,single_process,ordered,keep_cache,3000,3000,3000,30,3,False,29.940549133849952,1.0309771162025108,28.723433992126957,32.688355015125126,29.60404849727638,100198.56304533451,1.0,303.54150390625,304.1220703125,374.0,376.0,311.92333984375,376.0,nan,nan,nan,
phase1_ordered,5,single_process,ordered,keep_cache,4000,4000,4000,30,3,False,232.1162113667621,11.278206619253071,211.82076199329458,259.14752899552695,231.2516949896235,17232.747236597283,1.0,196.35546875,197.12890625,450.0,450.0,311.92333984375,450.0,nan,nan,nan,
phase1_ordered,6,single_process,ordered,keep_cache,5000,5000,5000,30,3,False,31.337112869368866,2.717427130515108,29.05147400451824,42.12674600421451,30.11278850317467,159555.22197730464,1.0,416.20654296875,417.1748046875,558.0,558.0,430.505859375,558.0,nan,nan,nan,
phase1_ordered,7,single_process,ordered,keep_cache,6000,6000,6000,30,3,False,32.20692952745594,1.985201288507601,29.479737975634634,36.7617390002124,32.08959499897901,186295.31246948228,1.0,677.48681640625,678.64599609375,840.0,840.0,695.22021484375,840.0,nan,nan,nan,
phase1_ordered,8,single_process,ordered,keep_cache,7000,7000,7000,30,3,False,230.02361659891903,11.490088872366584,214.19929299736395,252.10601100116037,230.5906395049533,30431.657859747327,1.0,335.9423828125,337.294921875,958.0,958.0,695.22021484375,958.0,nan,nan,nan,
phase1_ordered,9,single_process,ordered,keep_cache,8000,8000,8000,30,3,False,31.840393333307777,1.808341298737357,29.022948001511395,35.351692000404,32.035918498877436,251253.1775677317,1.0,685.025390625,686.56787109375,1104.0,1104.0,707.43017578125,1104.0,nan,nan,nan,
phase1_ordered,10,single_process,ordered,keep_cache,9000,9000,9000,30,3,False,235.30247219993421,10.140504966487718,220.71923900512047,262.76633801171556,231.90876199805643,38248.641911219645,1.0,430.310546875,432.04736328125,1266.0,1266.0,707.43017578125,1266.0,nan,nan,nan,
phase1_ordered,11,single_process,ordered,keep_cache,10000,10000,10000,30,3,False,238.06714290209734,15.301594898776278,220.8495689847041,280.6755359924864,236.1874935013475,42004.95657694517,1.0,477.39501953125,479.3251953125,1440.0,1440.0,707.43017578125,1440.0,nan,nan,nan,
