label,N,Loose,Medium,Strict,mono,p50a,p95a,p95s,rp95a,rp95s,iters,near_lim,time,K,w_limit
K16-w0,1000,0.9650,0.9570,0.9510,✓,0.18,4.69,2.88,0.5316,0.3753,24.0,0.0930,186,16,0
K16-w1.0,1000,0.9550,0.9460,0.9440,✓,0.18,18.80,2.83,0.5671,0.3976,24.4,0.0120,207,16,1.0
