target_id,pos_error_m,rot_error_rad,converged_loose,converged_medium,converged_strict
0,1.2411965515053167e-07,1.9314112360500902e-07,1,1,1
1,7.93083817612423e-08,8.688795409866128e-08,1,1,1
2,1.30514147846834e-07,2.874031889734563e-07,1,1,1
3,6.625823769784941e-08,1.8005141576520485e-07,1,1,1
4,3.3442329657607996e-08,1.1733186057227575e-07,1,1,1
5,8.15609966148495e-08,1.0323827311807144e-07,1,1,1
6,9.871211012454222e-08,1.698993779866605e-07,1,1,1
7,7.11567162586071e-08,1.8371385344770506e-07,1,1,1
8,7.327659371955244e-08,1.659323085197815e-07,1,1,1
9,6.494422341876454e-08,1.1920928955078133e-07,1,1,1
10,6.902325305689285e-08,5.960464477539064e-08,1,1,1
11,1.0526978302326454e-07,1.7504900879369298e-07,1,1,1
12,8.184559512473136e-08,5.960464477539064e-08,1,1,1
13,1.5612129504585017e-07,1.534168443230839e-07,1,1,1
14,6.280889047248021e-08,1.0536712127723512e-07,1,1,1
15,1.4951373024399885e-07,1.0536712127723512e-07,1,1,1
16,1.6750405106798197e-08,1.0950072449966577e-07,1,1,1
17,4.9262228640489086e-08,1.4751396978812924e-07,1,1,1
18,6.222629443490475e-08,1.490116119384767e-07,1,1,1
19,3.6298001344108805e-08,1.8611544365878127e-07,1,1,1
20,5.499918448596023e-08,1.2990531157078375e-07,1,1,1
21,1.415334674846698e-07,2.7797755757239e-07,1,1,1
22,1.0692057088061579e-07,1.0106459234841571e-07,1,1,1
23,1.250276574913288e-08,7.884953353001449e-08,1,1,1
24,3.3296699919861644e-08,0.0,1,1,1
25,5.4105567647627044e-08,4.2146848510894035e-08,1,1,1
26,7.205160158821796e-08,1.332800374925012e-07,1,1,1
27,3.362583184493165e-08,9.65705618025044e-08,1,1,1
28,4.9439164155454146e-08,6.989264130329237e-08,1,1,1
29,9.944901953276868e-08,1.5485740967710726e-07,1,1,1
30,7.445371627134488e-08,1.1733186057227575e-07,1,1,1
31,6.60878740990828e-08,1.591008641128439e-07,1,1,1
32,8.177746633855059e-08,8.940696716308596e-08,1,1,1
33,2.3879192459752915e-07,6.357052626520962e-07,1,1,1
34,5.3098622587999436e-08,1.6186804311275822e-07,1,1,1
35,1.882949947716224e-08,1.1733186057227575e-07,1,1,1
36,4.674514822174254e-08,1.3160349229466696e-07,1,1,1
37,1.0813354172380905e-07,9.185692672385244e-08,1,1,1
38,6.06369125222518e-08,1.2467205919833125e-07,1,1,1
39,3.519969090823199e-08,1.6858739404357632e-07,1,1,1
40,1.001248306134655e-07,6.322027276634106e-08,1,1,1
41,1.2216933499192482e-07,2.8585383434967613e-07,1,1,1
42,5.693626560572723e-08,1.8611544365878127e-07,1,1,1
43,1.0381814362820855e-07,1.1348386266624797e-07,1,1,1
44,2.6850392543875225e-08,0.0,1,1,1
45,1.1973722376198507e-07,1.444721179430584e-07,1,1,1
46,7.297489544084361e-08,8.688795409866128e-08,1,1,1
47,5.306897627272041e-08,4.712160915387242e-08,1,1,1
48,1.0569688901242657e-07,5.16191365590357e-08,1,1,1
49,4.417086779986031e-08,9.884312124119404e-08,1,1,1
50,1.2609322848333198e-07,3.6500241499888574e-08,1,1,1
51,6.669887956848835e-08,5.16191365590357e-08,1,1,1
52,7.414563206991686e-08,1.6049041769309372e-07,1,1,1
53,1.0321935979338438e-07,1.444721179430584e-07,1,1,1
54,7.479663221534555e-08,6.989264130329237e-08,1,1,1
55,1.8179899571847284e-08,1.3978528260658483e-07,1,1,1
56,9.250306626496025e-08,1.6186804311275822e-07,1,1,1
57,2.0036464905279308e-07,4.2146848510894035e-08,1,1,1
58,2.97869701843236e-08,8.161702118890975e-08,1,1,1
59,6.853809755826771e-08,1.3160349229466696e-07,1,1,1
60,6.087792865785325e-08,1.460009659995544e-07,1,1,1
61,5.632233623982256e-08,2.1073424255447054e-07,1,1,1
