label,typ,method,N,Loose,Medium,Strict,p95a,p95s,rp95a,rp95s,mean_dq,max_dq,p95_dq,jumps,iters,near_lim,time
line-50-independent,line,independent,50,0.96,0.96,0.92,5.174763291491383,2.1725998871135683,0.6439226626212899,0.36102422558941116,2.4906449381374807,3.0984718602706955,3.0738316487538864,46,27.58,0.1,8.8
line-50-rerank,line,rerank,50,0.96,0.96,0.94,4.277761989152641,2.5873722035775737,0.938000982393071,0.9133939003503831,1.3158130178693728,2.7014708435523973,2.5949585441591405,39,25.54,0.0,8.8
arc-50-independent,arc,independent,50,1.0,1.0,1.0,1.7652435201831003,1.7652435201831003,0.2609302195741899,0.2609302195741899,2.3939784621636364,3.109089676619396,3.092569039981289,44,22.74,0.12,8.2
arc-50-rerank,arc,rerank,50,1.0,1.0,1.0,3.131811607299811,3.131811607299811,0.8393635173033596,0.8393635173033596,1.551161145468282,3.0739212145216523,2.728540459481843,45,22.46,0.0,8.2
local_random-50-independent,local_random,independent,50,1.0,1.0,1.0,1.1979452032213507,1.1979452032213507,0.07077094663323194,0.07077094663323194,2.5937119123482115,3.131388528150901,3.110165471617825,46,20.94,0.14,7.5
local_random-50-rerank,local_random,rerank,50,1.0,1.0,1.0,2.3991359688341793,2.3991359688341793,0.8987038398313797,0.8987038398313797,1.147227427178864,2.649358403441755,2.5215620842639592,36,21.58,0.0,7.5
