N,cuda_opt4c_gpu_ms,cuda_opt4c_e2e_ms,cuda_opt4c_throughput,cuda_opt4c_valid_throughput,cuda_opt4c_strict_sr,cuda_opt4c_pos_p95,curobo_graph_gpu_ms,curobo_graph_e2e_ms,curobo_graph_throughput,curobo_graph_valid_throughput,curobo_graph_strict_sr,curobo_graph_pos_p95,throughput_gap_percent,valid_throughput_gap_percent
100,7.09497388,7.09497388,14094.4846,13530.7052,0.96,4.38451277,9.209430472056072,9.209430472056072,10858.434764606489,9338.25389756158,0.86,74.05754538199889,29.802175963165034,44.89545206661343
500,30.5672481,30.5672481,16357.377,15604.9376,0.954,4.33796842,11.134643173217771,11.134643173217771,44904.896566659016,37630.30332286025,0.838,108.9624732965346,-63.57328877104011,-58.53092794359682
1000,56.1285248,56.1285248,17816.253,16996.7054,0.954,4.56313281,13.487415409088134,13.487415409088134,74143.18975644339,62354.42258516889,0.841,100.08661538959696,-75.97047947555873,-72.74178046186783
5000,267.9697,267.9697,18658.826,17800.52,0.954,4.56313281,34.60245259602865,34.60245259602865,144498.42785345955,121869.9740516078,0.8434,74.08098230147469,-87.08717715674906,-85.39384279144748
