strict_success_count,strict_failure_count,strict_sr,pos_p50_all,pos_p95_all,pos_p99_all,pos_max_all,pos_p50_success_only,pos_p95_success_only,pos_p99_success_only,pos_max_success_only,pos_p50_failure_only,pos_p95_failure_only,pos_p99_failure_only,pos_max_failure_only,rot_p95_all,rot_p95_success_only,rot_p95_failure_only,gpu_ms,e2e_ms,throughput,valid_throughput,failure_count,num_seeds,run_label,N,seed_solver_num_seeds,position_tolerance,rotation_tolerance,use_cuda_graph,quat_mode,override_iters,status,config_name,num_iters,position_threshold,rotation_threshold,pose_weight,collision_enabled,notes
85,15,0.85,0.000130426029816419,90.78326962472823,276.01155552498346,497.4884181370001,0.00010890866054592192,0.020154236535213012,1.0132057337703422,1.7656050244177754,39.42808094949739,340.8886162901186,466.16845776762375,497.4884181370001,10.554496725083895,0.0022286660149666427,27.882727862584016,10.044927597045898,10.075458500068635,9955.273349049214,8461.982346691831,15,1,default_graph_N100,100,1,0.01,0.0872664626,1,current,"{'particle': None, 'lbfgs': None}",ok,default_graph,None,0.01,0.0872664626,1.0,0,ok
86,14,0.86,0.000130426029816419,74.32372067016374,277.5163712977101,493.65763078745107,0.0001089726571408146,0.012455543814937544,0.9953794874970843,1.7656050244177754,31.868034208879443,351.74670283964053,465.2754451978888,493.65763078745107,10.784561778775801,0.0022039805327301928,45.16143452501248,13.613696098327637,13.645559010910802,7345.543728736858,6317.167606713698,14,1,quality_more_iters_N100,100,1,0.01,0.0872664626,1,current,"{'particle': 128, 'lbfgs': 200}",ok,quality_more_iters,"{'particle': 128, 'lbfgs': 200}",0.01,0.0872664626,1.0,0,ok
100,0,1.0,0.00013161747427250505,0.0221932477920097,0.9027130450173279,2.118599097371637,0.00013161747427250505,0.0221932477920097,0.9027130450173279,2.118599097371637,nan,nan,nan,nan,0.0004940357943060053,0.0004940357943060053,nan,9.2816162109375,9.307218511821702,10773.985664496613,10773.985664496613,0,128,quality_more_seeds_N100,100,128,0.01,0.0872664626,1,current,"{'particle': None, 'lbfgs': None}",ok,quality_more_seeds,None,0.01,0.0872664626,1.0,0,ok
100,0,1.0,0.00013161747427250505,0.0221932477920097,0.9027130450173279,2.118599097371637,0.00013161747427250505,0.0221932477920097,0.9027130450173279,2.118599097371637,nan,nan,nan,nan,0.0004940357943060053,0.0004940357943060053,nan,8.481328010559082,8.504853991325945,11790.60636205816,11790.60636205816,0,128,quality_tighter_threshold_N100,100,128,0.005,0.0174532925,1,current,"{'particle': None, 'lbfgs': None}",ok,quality_tighter_threshold,None,0.005,0.0174532925,1.0,0,ok
77,23,0.77,1.4229643687538245,272.7622500909764,563.6095056085693,839.4559888734078,0.7918958995723671,3.8867697845495406,4.49245224361797,4.492461999664618,190.15641337615406,541.5839844158633,778.1567703701104,839.4559888734078,53.3300392017291,0.8489777528575483,89.80144790513395,87.51665496826172,87.54568251606543,1142.6396499759437,879.8325304814766,23,128,quality_pose_weight_high_N100,100,128,0.005,0.0174532925,1,current,"{'particle': None, 'lbfgs': None}",ok,quality_pose_weight_high,None,0.005,0.0174532925,5.0,0,ok
100,0,1.0,0.00013161747427250505,0.0221932477920097,0.9027130450173279,2.118599097371637,0.00013161747427250505,0.0221932477920097,0.9027130450173279,2.118599097371637,nan,nan,nan,nan,0.0004940357943060053,0.0004940357943060053,nan,36.20065498352051,36.23128050821833,2762.380958176658,2762.380958176658,0,128,no_graph_quality_N100,100,128,0.005,0.0174532925,0,current,"{'particle': None, 'lbfgs': None}",ok,no_graph_quality,None,0.005,0.0174532925,1.0,0,ok
418,82,0.836,0.0001233274606669099,115.88251437005745,348.6358281402439,730.2731083161353,0.00010491089240746202,0.20085156318336467,1.9685572829061109,3.3484927013862884,58.85001574133313,353.738265570329,535.7493427609463,730.2731083161353,8.696442294246262,0.02011175729991519,31.644707142079017,11.465792179107666,11.492892997921444,43607.97685754958,36456.26865291144,82,1,default_graph_N500,500,1,0.01,0.0872664626,1,current,"{'particle': None, 'lbfgs': None}",ok,default_graph,None,0.01,0.0872664626,1.0,0,ok
423,77,0.846,0.0001233274606669099,105.36614711517016,316.0201935066898,718.4560179745172,0.0001061644743135186,0.20376374435011116,2.6845735052925535,4.74267730400124,58.36041498349941,329.8113285575738,441.47679489450593,718.4560179745172,8.392137992689705,0.016623769808243618,24.365501553159106,16.325215339660645,16.355446496163495,30627.467362424,25910.837388610704,77,1,quality_more_iters_N500,500,1,0.01,0.0872664626,1,current,"{'particle': 128, 'lbfgs': 200}",ok,quality_more_iters,"{'particle': 128, 'lbfgs': 200}",0.01,0.0872664626,1.0,0,ok
497,3,0.994,0.00012316028188469113,0.21637007471797534,3.436987342955277,8.669013639526204,0.00012261153768087813,0.1845525334947475,2.124467918775734,4.879040761426845,8.352362469320273,8.637348522505611,8.662680616122085,8.669013639526204,0.005893281768433523,0.0039002351146593646,0.21228563907744372,36.565921783447266,36.59649900509976,13673.933969479227,13591.890365662352,3,128,quality_more_seeds_N500,500,128,0.01,0.0872664626,1,current,"{'particle': None, 'lbfgs': None}",ok,quality_more_seeds,None,0.01,0.0872664626,1.0,0,ok
500,0,1.0,0.00012281928998924494,0.19177553696319252,2.275511377884479,4.879040761426845,0.00012281928998924494,0.19177553696319252,2.275511377884479,4.879040761426845,nan,nan,nan,nan,0.004334076663860922,0.004334076663860922,nan,35.974191665649414,36.00407148769591,13898.852951223746,13898.852951223746,0,128,quality_tighter_threshold_N500,500,128,0.005,0.0174532925,1,current,"{'particle': None, 'lbfgs': None}",ok,quality_tighter_threshold,None,0.005,0.0174532925,1.0,0,ok
