target_id,cuda_success,curobo_success,cuda_pos_err_mm,curobo_pos_err_mm,cuda_rot_err_deg,curobo_rot_err_deg,cuda_near_limit,curobo_near_limit,winner_quality,failure_type
0,1,0,2.62897323996,22.20531470169788,0.0292258441688,2.2999944034617834,0,0,CUDA,cuda_success_curobo_fail
1,1,1,0.0704365239983,5.215330286456988e-05,0.0193127271256,2.0526110585337575e-05,0,0,cuRobo,both_success
2,1,0,0.665409316519,117.03310601169798,0.162050089355,17.005855261172165,0,0,CUDA,cuda_success_curobo_fail
3,1,1,0.727989750087,9.116343581853693e-05,0.131847373664,6.830189170012755e-06,0,0,cuRobo,both_success
4,1,1,0.0910567480843,7.857295789034379e-05,0.436942221402,8.009106731400786e-06,0,0,cuRobo,both_success
5,1,0,0.064018501614,487.9201049290805,0.0694557234967,38.84240799184072,0,1,CUDA,cuda_success_curobo_fail
6,1,1,0.0236901553479,1.9751407812720433e-05,0.0422847895796,2.091309789151873e-06,0,0,cuRobo,both_success
7,1,1,0.0478556296093,0.00012134755026174438,0.0545815351376,8.954453545231654e-06,0,0,cuRobo,both_success
8,1,1,0.156785298695,0.04034479821285993,0.0204899932323,0.012895136591198451,0,0,cuRobo,both_success
9,1,0,0.176243005466,53.49416196427463,0.0245943729785,10.569640498554303,0,0,CUDA,cuda_success_curobo_fail
10,1,1,0.652486505032,0.6003592700809995,0.12817546064,0.10263302278465657,0,0,cuRobo,both_success
11,1,1,0.100166309345,0.00046912613762074265,0.0333918164636,8.2776426154535e-06,0,0,cuRobo,both_success
12,1,1,3.24218171687,3.260464542517684e-05,0.0878190556959,7.443026089337887e-06,0,0,cuRobo,both_success
13,1,1,0.0291120897115,6.500348210059981e-05,0.000358154914057,1.1326587362040649e-05,0,0,cuRobo,both_success
14,1,1,0.0458430424688,9.867055557929159e-05,0.15226902242,2.699869328381916e-06,0,0,cuRobo,both_success
15,1,1,0.113249876131,0.01217843650474457,0.175624495057,0.0018336982991834258,0,0,cuRobo,both_success
16,1,1,0.0267164089518,6.821869013562634e-05,0.148858135849,2.405763859136635e-05,0,0,cuRobo,both_success
17,1,1,0.0261555518296,0.00016708867487923255,0.0177150427211,5.122641877509564e-06,0,0,cuRobo,both_success
18,1,1,0.146492385861,0.00033948144627031853,0.0344058340883,0.00033748582593677844,0,0,cuRobo,both_success
19,1,1,0.0171383262828,0.00012366378079311727,0.84471150986,5.263014220319209e-06,0,0,cuRobo,both_success
20,1,1,0.0586511021652,6.292067638226626e-05,0.00044500464052,3.818191820832846e-06,0,0,cuRobo,both_success
21,1,1,0.560411185216,1.4789003346754582e-05,0.0626181448898,1.0799477313527678e-05,0,0,cuRobo,both_success
22,1,1,0.0515441118022,1.6906633659453136,0.403657523206,0.18955202535132348,0,0,CUDA,both_success
23,0,1,78.552860708,0.00012796413059708913,0.667143384446,3.818191820832846e-06,0,0,cuRobo,curobo_success_cuda_fail
24,1,1,0.864686589783,4.376437550980925e-05,0.00267843048456,5.6632936810203185e-06,0,0,cuRobo,both_success
25,1,1,0.134656862786,9.284732912075412e-05,0.044069557819,5.915117333884395e-06,0,0,cuRobo,both_success
26,1,1,0.667708092421,0.00011399119707366892,0.0651382968759,1.628896300592164e-05,0,0,cuRobo,both_success
27,1,1,0.0273628760747,0.000174531492465105,0.508200481306,1.463916852406315e-05,0,0,cuRobo,both_success
28,0,1,57.7569798735,0.0009390820624863217,0.100358771072,3.565463422438781e-05,0,0,cuRobo,curobo_success_cuda_fail
29,1,0,0.225044261954,306.71292176510775,0.77339007295,21.59948233460763,0,0,CUDA,cuda_success_curobo_fail
30,1,1,0.0441196760498,4.757402763372036e-05,0.00362249798019,8.537736462515945e-06,0,0,cuRobo,both_success
31,1,1,0.70726553246,0.0072820254004013815,0.00793562785572,0.0004493575433512271,0,0,cuRobo,both_success
32,1,1,0.0344775199242,0.00010903665373570727,0.000165039110147,7.040397847728103e-06,0,0,cuRobo,both_success
33,1,0,4.97614212372,17.907431782981202,0.0102500333725,1.0445050187607903,0,0,CUDA,cuda_success_curobo_fail
34,1,1,0.0152050168105,0.001283019493732733,0.000717013204402,0.0003152702974401708,0,0,cuRobo,both_success
35,1,0,0.212252037606,29.061630139322315,0.0605580998506,1.66165676708725,0,0,CUDA,cuda_success_curobo_fail
36,1,1,0.174029644743,0.8713009559561998,0.00171826874268,0.03515066402668644,0,0,CUDA,both_success
37,1,1,0.103054899762,0.008572853499039855,0.107842504644,0.0012837576301867014,0,0,cuRobo,both_success
38,1,1,0.0932263274442,7.662342726274741e-05,0.00298570439443,3.415094585006376e-06,0,0,cuRobo,both_success
39,1,1,0.389240289924,0.0002437324997039884,0.00790777919159,8.365239156607499e-06,0,0,cuRobo,both_success
40,1,0,0.0977703358124,84.89663786129033,0.157030366134,5.541965402520887,0,0,CUDA,cuda_success_curobo_fail
41,1,1,0.0543890455411,0.00017154544886089658,0.0682462409164,3.139287501286945e-05,0,0,cuRobo,both_success
42,1,1,0.11815662413,1.0179023938357907e-05,0.00816264051855,4.829673078902934e-06,0,0,cuRobo,both_success
43,1,1,0.461962835781,0.0006954910956774891,0.0336764581827,2.5095717469822675e-05,0,0,cuRobo,both_success
44,1,1,0.450554318304,0.0001262980874670593,0.332834058815,1.010198601586461e-05,0,0,cuRobo,both_success
45,1,1,0.0250794917611,6.697103664387861e-05,0.0352586455126,1.024528375501914e-05,0,0,cuRobo,both_success
46,1,0,0.531656800165,140.33044195928542,0.000770494658083,4.432571948217075,0,0,CUDA,cuda_success_curobo_fail
47,1,1,2.00826463111,0.00012027738521104102,0.0866440151866,1.7245382313122805e-05,0,0,cuRobo,both_success
