strict_success_count,strict_failure_count,strict_sr,pos_p50_all,pos_p95_all,pos_p99_all,pos_max_all,pos_p50_success_only,pos_p95_success_only,pos_p99_success_only,pos_max_success_only,pos_p50_failure_only,pos_p95_failure_only,pos_p99_failure_only,pos_max_failure_only,rot_p95_all,rot_p95_success_only,rot_p95_failure_only,gpu_ms,e2e_ms,throughput,valid_throughput,failure_count,num_seeds,run_label,N,seed_solver_num_seeds,position_tolerance,rotation_tolerance,use_cuda_graph,quat_mode,override_iters,status,quality_improved_vs_default,throughput_drop_vs_default,notes
98,2,0.98,0.00011591043814641804,0.06391581201967958,5.96344045744875,9.078778800984804,0.000110226714631925,0.016950595971103828,0.9381499421463535,2.118599097371637,7.505375597178707,8.921438480604193,9.047310736908681,9.078778800984804,0.0013185758418086128,0.0002154817228973292,0.0672893319260792,11.185343980789185,11.213475008844398,8940.270426349864,8761.465017822866,2,16,seed16_N100,100,16,0.01,0.0872664626,1,current,"{'particle': None, 'lbfgs': None}",ok,1,0.12689462959677644,ok
99,1,0.99,0.00012895045458499613,0.0605371221078677,0.951944517266691,5.931972393372612,0.00012806032497389392,0.023769131982822062,0.8906555644741332,0.9016412053868073,5.931972393372612,5.931972393372612,5.931972393372612,5.931972393372612,0.0005623699125907759,0.0003198205585327469,0.03193001371742315,4.058079957962036,4.079319522134028,24642.195579167423,24395.77362337575,1,32,seed32_N100,100,32,0.01,0.0872664626,1,current,"{'particle': None, 'lbfgs': None}",ok,1,-1.4065528527286282,ok
100,0,1.0,0.0001245671837735533,0.026308070798315507,0.9027017120998387,2.1174658056227296,0.0001245671837735533,0.026308070798315507,0.9027017120998387,2.1174658056227296,nan,nan,nan,nan,0.00045898713318677373,0.00045898713318677373,nan,5.300656080245972,5.322438009898178,18865.589181058433,18865.589181058433,0,64,seed64_N100,100,64,0.01,0.0872664626,1,current,"{'particle': None, 'lbfgs': None}",ok,1,-0.8424104019556062,ok
100,0,1.0,0.00013161747427250505,0.0221932477920097,0.9027130450173279,2.118599097371637,0.00013161747427250505,0.0221932477920097,0.9027130450173279,2.118599097371637,nan,nan,nan,nan,0.0004940357943060053,0.0004940357943060053,nan,9.285696029663086,9.31506599590648,10769.251941970828,10769.251941970828,0,128,seed128_N100,100,128,0.01,0.0872664626,1,current,"{'particle': None, 'lbfgs': None}",ok,1,-0.0517234107423985,ok
100,0,1.0,0.00013789274523142976,0.02764337655152605,1.2708487438909826,2.117513331087465,0.00013789274523142976,0.02764337655152605,1.2708487438909826,2.117513331087465,nan,nan,nan,nan,0.0005071675334346823,0.0005071675334346823,nan,15.550751686096191,15.577796497382224,6430.557314435754,6430.557314435754,0,256,seed256_N100,100,256,0.01,0.0872664626,1,current,"{'particle': None, 'lbfgs': None}",ok,1,0.3719928080283026,ok
100,0,1.0,0.00010185409590327105,0.012754276903548318,0.9029496172665443,2.142256322293269,0.00010185409590327105,0.012754276903548318,0.9029496172665443,2.142256322293269,nan,nan,nan,nan,0.0001786996774865532,0.0001786996774865532,nan,30.126959800720215,30.157758985296823,3319.286136452753,3319.286136452753,0,500,seed500_N100,100,500,0.01,0.0872664626,1,current,"{'particle': None, 'lbfgs': None}",ok,1,0.6758390503378657,ok
493,7,0.986,0.0001089726571408146,0.6256189325707192,5.40445695728173,208.99454341440372,0.0001083161999690466,0.4287519649716513,2.2836446895843636,4.498477916350099,5.725151926156354,149.071091696097,197.0098530707423,208.99454341440372,0.07290205402965244,0.033682521920163605,9.613745157881405,55.625247955322266,55.740235999110155,8988.72397659415,8862.881840921833,7,16,seed16_N500,500,16,0.01,0.0872664626,1,current,"{'particle': None, 'lbfgs': None}",ok,1,0.7934275202178054,ok
498,2,0.996,0.00013199625497104422,0.21313218508449802,3.479108252670989,8.66230352554597,0.00013192423425251212,0.19238542174045276,3.289055817762447,4.1981655129671225,7.297137959459292,8.525786968937302,8.635000214224236,8.66230352554597,0.008541290911326696,0.007329486474243259,0.0960986363112965,10.471424102783203,10.498699499294162,47748.9971843567,47558.00119561927,2,32,seed32_N500,500,32,0.01,0.0872664626,1,current,"{'particle': None, 'lbfgs': None}",ok,1,-0.09733359052626556,ok
497,3,0.994,0.00012221834562025613,0.18463022793234632,2.8452813215250274,8.762786987903059,0.0001216602417882936,0.15286516579618137,1.9153233035992991,3.436548981439269,8.66230352554597,8.75273864166735,8.760777318655917,8.762786987903059,0.005199455509863848,0.0025468746512013495,0.10653353126617278,18.74193572998047,18.77089600020554,26678.140785648775,26518.071940934882,3,64,seed64_N500,500,64,0.01,0.0872664626,1,current,"{'particle': None, 'lbfgs': None}",ok,1,0.38690188814118054,ok
497,3,0.994,0.00012316028188469113,0.21637007471797534,3.436987342955277,8.669013639526204,0.00012261153768087813,0.1845525334947475,2.124467918775734,4.879040761426845,8.352362469320273,8.637348522505611,8.662680616122085,8.669013639526204,0.005893281768433523,0.0039002351146593646,0.21228563907744372,37.97436714172363,38.00458650221117,13166.776371386431,13087.775713158113,3,128,seed128_N500,500,128,0.01,0.0872664626,1,current,"{'particle': None, 'lbfgs': None}",ok,1,0.6974104830833313,ok
