target_id,python_best_seed_id,cuda_best_seed_id,python_pos_err_mm,cuda_pos_err_mm,python_rot_err_deg,cuda_rot_err_deg,python_success_strict,cuda_success_strict,python_near_limit,cuda_near_limit
0,13,13,2.6289732370982017,2.62897323996,0.029225844112385085,0.0292258441688,1,1,0,0
1,0,0,0.07043652399845614,0.0704365239983,0.019312727125611755,0.0193127271256,1,1,0,0
2,10,10,0.6654051538607005,0.66540515386,0.16204998888549835,0.162049988886,1,1,0,0
3,7,7,0.7463376763795767,0.746337688318,0.10598296911347246,0.105982952616,1,1,0,0
4,2,2,0.09105776797929042,0.0910577679795,0.43694335750454544,0.436943357504,1,1,0,0
5,2,2,0.06401892044933302,0.0640189204492,0.06945603218906148,0.0694560321889,1,1,0,0
6,4,4,0.023690155350341455,0.0236901553479,0.04228478958272191,0.0422847895796,1,1,0,0
7,2,2,0.04785562960914973,0.0478556296093,0.054581535137601105,0.0545815351376,1,1,0,0
8,8,8,0.15678529869447003,0.156785298695,0.0204899932322912,0.0204899932323,1,1,0,0
9,15,15,0.1762225955873187,0.176222595589,0.02459086161541676,0.0245908616158,1,1,0,0
10,6,6,0.6519989191442249,0.651998924386,0.1281536548684892,0.128153655103,1,1,0,0
11,14,14,0.10016654065152236,0.100166540652,0.03339185829798897,0.033391858298,1,1,0,0
12,7,7,3.242201487855963,3.24220148765,0.08781957728052696,0.0878195772813,1,1,0,0
13,13,13,0.029112107823766192,0.0291121079242,0.0003581548686483828,0.000358154871278,1,1,0,0
14,2,2,0.04584304246877711,0.0458430424688,0.15226902242024787,0.15226902242,1,1,0,0
15,2,2,0.11325000285587737,0.113250002855,0.17562461755902956,0.175624617559,1,1,0,0
16,6,6,0.026716659113366133,0.0267166591136,0.14885883680678305,0.148858836807,1,1,0,0
17,6,6,0.02615555182950553,0.0261555518296,0.01771504272106967,0.0177150427211,1,1,0,0
18,6,6,0.14657538610151072,0.146575386102,0.03441811641670383,0.0344181164167,1,1,0,0
19,13,13,0.017121324509438568,0.017121324551,0.8442969690329799,0.844296970051,1,1,0,0
20,4,4,0.058651102165408975,0.0586511021652,0.00044500464050763845,0.00044500464052,1,1,0,0
21,7,7,0.5604111852161222,0.560411185216,0.06261814488983168,0.0626181448898,1,1,0,0
22,8,8,0.051544020227373644,0.0515440202274,0.4036570836961546,0.403657083696,1,1,0,0
23,12,12,78.55286070800862,78.552860708,0.6671433844613344,0.667143384446,0,0,0,0
24,15,15,0.8646697993338399,0.864669799336,0.0026783563799038595,0.0026783563799,1,1,0,0
25,1,1,0.1346568627864542,0.134656862786,0.04406955781907292,0.044069557819,1,1,0,0
26,14,14,0.6677080924206966,0.667708092421,0.06513829687587414,0.0651382968759,1,1,0,0
27,0,0,0.027306460416893025,0.0273064604194,0.5082093488771873,0.508209348877,1,1,0,0
28,5,5,57.75697987346519,57.7569798735,0.10035877107157402,0.100358771072,0,0,0,0
29,5,5,0.225264510975909,0.225264510788,0.773454750771117,0.773454750708,1,1,0,0
30,14,14,0.044119676049576055,0.0441196760498,0.003622497980205718,0.00362249798019,1,1,0,0
31,15,15,0.7072178727721152,0.707217872773,0.007935594558132636,0.00793559455811,1,1,0,0
32,0,0,0.0344775199283341,0.0344775199242,0.00016503911016486653,0.000165039110147,1,1,0,0
33,14,14,4.976252665899487,4.97625266589,0.010252800311483923,0.0102528003111,1,1,0,0
34,13,13,0.015205016810568598,0.0152050168105,0.0007170132044120197,0.000717013204402,1,1,0,0
35,6,6,0.21225042595971108,0.21225042596,0.06055738180937703,0.0605573818094,1,1,0,0
36,7,7,0.17402964474178997,0.174029644743,0.0017182687427433614,0.00171826874268,1,1,0,0
37,3,3,0.10305489976248323,0.103054899762,0.10784250464374341,0.107842504644,1,1,0,0
38,14,14,0.09322632744406177,0.0932263274442,0.002985704394458472,0.00298570439443,1,1,0,0
39,1,1,0.3892393683606916,0.389239368361,0.007907782486572052,0.00790778248655,1,1,0,0
40,2,2,0.09777033581259996,0.0977703358124,0.15703036613439728,0.157030366134,1,1,0,0
41,5,5,0.05438904554085016,0.0543890455411,0.06824624091634675,0.0682462409164,1,1,0,0
42,15,15,0.1174416960782048,0.117441695444,0.008121752891156181,0.0081217528549,1,1,0,0
43,10,10,0.46196283577755576,0.461962835781,0.03367645818251941,0.0336764581827,1,1,0,0
44,11,11,0.45055431830348086,0.450554318304,0.33283405881500816,0.332834058815,1,1,0,0
45,9,9,0.025079491761182918,0.0250794917611,0.03525864551262655,0.0352586455126,1,1,0,0
46,7,7,0.5316563141193447,0.531656314119,0.0007704930818236737,0.000770493081791,1,1,0,0
