sample_id,row,col,value
0,0,0,-1.0631792226970598
0,0,1,0.17876184197365008
0,0,2,0.042500134278124116
0,0,3,-0.0098131281403214792
0,0,4,0.076896180320562224
0,0,5,0
0,1,0,-0.17876615444797339
0,1,1,-0.59638349743519936
0,1,2,-0.14178852929479319
0,1,3,0.032738461642421966
0,1,4,0.047201747463713507
0,1,5,0
0,2,0,0
0,2,1,1.0697407008112667
0,2,2,0.6833210300421374
0,2,3,0.14079827290697353
0,2,4,0.018968723954957811
0,2,5,-0
0,3,0,0
0,3,1,0.95789398635366119
0,3,2,0.95789398635366119
0,3,3,0.95789398635366119
0,3,4,-0.18204375508555251
0,3,5,-0.52084460201227134
0,4,0,0
0,4,1,0.28712211845744628
0,4,2,0.28712211845744628
0,4,3,0.28712211845744628
0,4,4,0.60733258316294403
0,4,5,0.60749880917685117
0,5,0,1
0,5,1,-2.0510342851533115e-10
0,5,2,-2.0510342851533115e-10
0,5,3,-2.0510342851533115e-10
0,5,4,-0.77330925551358631
0,5,5,0.59972168328599429
1,0,0,0.18947154360677368
1,0,1,0.050273540968153847
1,0,2,-0.060001502050758833
1,0,3,-0.0078813739117655265
1,0,4,0.036340884600006541
1,0,5,0
1,1,0,0.031258722507654157
1,1,1,-0.02707968242702221
1,1,2,0.032319617424139212
1,1,3,0.0042452768706913316
1,1,4,0.08426602070806144
1,1,5,-0
1,2,0,-0
1,2,1,0.11737265610662806
1,2,2,0.71641784477303294
1,2,3,0.14718800222675185
1,2,4,0.008911669906227937
1,2,5,0
1,3,0,0
1,3,1,-0.47422626765833875
1,3,2,-0.47422626765833875
1,3,3,-0.4742262676583387
1,3,4,0.6563711251275649
1,3,5,0.6432888516176094
1,4,0,0
1,4,1,-0.88040300264301774
1,4,2,-0.88040300264301774
1,4,3,-0.88040300264301763
1,4,4,-0.35355221173155471
1,4,5,-0.19924755286930024
1,5,0,1
1,5,1,-2.0510342851533115e-10
1,5,2,-2.0510342851533115e-10
1,5,3,-2.0510342851533113e-10
1,5,4,0.66646663808363316
1,5,5,-0.73924276530791466
2,0,0,0.19754063128167015
2,0,1,0.2057515045888407
2,0,2,0.103205061816767
2,0,3,-0.030026772191653252
2,0,4,0.039754448020863156
2,0,5,-0
2,1,0,-0.040506531534323695
2,1,1,-0.78218949606712973
2,1,2,-0.39234665813941233
2,1,3,0.11415044502251472
2,1,4,0.062317395648603655
2,1,5,0
2,2,0,0
2,2,1,0.18073726680496829
2,2,2,-0.2797524603239408
2,2,3,-0.049020466670418678
2,2,4,-0.055108675017023247
2,2,5,0
2,3,0,0
2,3,1,-0.96710126020900189
2,3,2,-0.96710126020900189
2,3,3,-0.96710126020900189
2,3,4,-0.18814075033622149
2,3,5,0.88243420174890275
2,4,0,0
2,4,1,-0.25439173041229213
2,4,2,-0.25439173041229213
2,4,3,-0.25439173041229213
2,4,4,0.7152400611411065
2,4,5,-0.17776223581044234
2,5,0,1
2,5,1,-2.0510342851533115e-10
2,5,2,-2.0510342851533115e-10
2,5,3,-2.0510342851533115e-10
2,5,4,0.6730785340521489
2,5,5,0.43555765072312697
3,0,0,0.61769722982394948
3,0,1,-0.27449222474709245
3,0,2,-0.070071064098228386
3,0,3,0.044315773320628901
3,0,4,-0.017088921955497546
3,0,5,0
3,1,0,0.53690554931553891
3,1,1,0.65055651682785209
3,1,2,0.16607096027443849
3,1,3,-0.1050299882736804
3,1,4,0.084411814847674682
3,1,5,0
3,2,0,-0
3,2,1,-0.777832401535268
3,2,2,-0.4647353964871514
3,2,3,0.026128349497029135
3,2,4,-0.032915866394807314
3,2,5,0
3,3,0,0
3,3,1,0.92134453397810134
3,3,2,0.92134453397810134
3,3,3,0.92134453397810134
3,3,4,-0.14122619405864342
3,3,5,0.97247207620789344
3,4,0,0
3,4,1,0.38874702533739752
3,4,2,0.38874702533739752
3,4,3,0.38874702533739752
3,4,4,0.33471119637125951
3,4,5,0.22310143424058954
3,5,0,1
3,5,1,-2.0510342851533115e-10
3,5,2,-2.0510342851533115e-10
3,5,3,-2.0510342851533115e-10
3,5,4,0.93167782904576557
3,5,5,0.067259282152730707
4,0,0,-0.35632412854231926
4,0,1,0.20629233556434887
4,0,2,0.2995447378245929
4,0,3,-0.14272649952074848
4,0,4,-0.023943738112812502
4,0,5,0
4,1,0,-0.92493356997163545
4,1,1,-0.04377458089318971
4,1,2,-0.063562445819643779
4,1,3,0.030286111755340642
4,1,4,-0.088870442573811589
4,1,5,-0
4,2,0,0
4,2,1,0.9787516709490377
4,2,2,0.37422174623534243
4,2,3,0.023343005274714352
4,2,4,0.0054389191867426322
4,2,5,0
4,3,0,0
4,3,1,0.20757500015559102
4,3,2,0.20757500015559102
4,3,3,0.20757500015559102
4,3,4,-0.72180755054629353
4,3,5,0.64152409214024886
4,4,0,0
4,4,1,0.9782191059831159
4,4,2,0.9782191059831159
4,4,3,0.9782191059831159
4,4,4,0.15316527877753927
4,4,5,-0.21785538680917146
4,5,0,1
4,5,1,-2.0510342851533115e-10
4,5,2,-2.0510342851533115e-10
4,5,3,-2.0510342851533115e-10
4,5,4,-0.6749327798761583
4,5,5,-0.73551741627364309
5,0,0,0.58125891145896447
5,0,1,0.061147626189142885
5,0,2,-0.054293020740098868
5,0,3,-0.027745116643877986
5,0,4,-0.087123459636459608
5,0,5,0
5,1,0,-0.070286145376440429
5,1,1,-0.31831336224518403
5,1,2,0.28263065937179455
5,1,3,0.14443146690732489
5,1,4,-0.0289184077717187
5,1,5,0
5,2,0,0
5,2,1,0.55756264301011293
5,2,2,0.54841169118144939
5,2,3,-0.0063166044645058608
5,2,4,-0.0086063042546026813
5,2,5,-0
5,3,0,0
5,3,1,-0.98204446390818312
5,3,2,-0.98204446390818312
5,3,3,-0.98204446390818301
5,3,4,0.11016719544346157
5,3,5,-0.30814242955922327
5,4,0,0
5,4,1,-0.18864959821661192
5,4,2,-0.18864959821661192
5,4,3,-0.1886495982166119
5,4,4,-0.5734922595844083
5,4,5,0.7567900220510928
5,5,0,1
5,5,1,-2.0510342851533115e-10
5,5,2,-2.0510342851533115e-10
5,5,3,-2.0510342851533113e-10
5,5,4,0.8117695592006956
5,5,5,0.57646951838691818
6,0,0,-0.31475405181943666
6,0,1,0.20060531757158739
6,0,2,0.15044536525133778
6,0,3,0.027505725122794714
6,0,4,0.048403759795114111
6,0,5,-0
6,1,0,0.15867625336807917
6,1,1,-0.82281266131850628
6,1,2,-0.61707412820402574
6,1,3,-0.1128188384107036
6,1,4,0.078471263971254715
6,1,5,0
6,2,0,0
6,2,1,0.26821181759998874
6,2,2,-0.30598295351442323
6,2,3,-0.064861122067088009
6,2,4,-0.00042043840280892454
6,2,5,0
6,3,0,0
6,3,1,0.97154226976167501
6,3,2,0.97154226976167501
6,3,3,0.97154226976167501
6,3,4,-0.0015374565140246132
6,3,5,0.85110913510279118
6,4,0,0
6,4,1,0.23686624509695908
6,4,2,0.23686624509695908
6,4,3,0.23686624509695908
6,4,4,0.0063061074433783393
6,4,5,-0.52496847868819185
6,5,0,1
6,5,1,-2.0510342851533115e-10
6,5,2,-2.0510342851533115e-10
6,5,3,-2.0510342851533115e-10
6,5,4,0.99997893439631014
6,5,5,0.0046191480149422202
7,0,0,-0.41423871528436812
7,0,1,-0.052504022044100485
7,0,2,-0.021988777108657383
7,0,3,-0.0058864875679081738
7,0,4,0.041099729182833986
7,0,5,-0
7,1,0,0.26928708288746478
7,1,1,-1.0425558613766535
7,1,2,-0.43662423633478104
7,1,3,-0.11688613319094043
7,1,4,0.06789861220572338
7,1,5,0
7,2,0,0
7,2,1,0.42725878008001356
7,2,2,0.50763094939654596
7,2,3,0.033251827101387639
7,2,4,-0.046919406663282717
7,2,5,0
7,3,0,0
7,3,1,0.99873429835593874
7,3,2,0.99873429835593874
7,3,3,0.99873429835593874
7,3,4,0.028037366371264874
7,3,5,0.89470977073728453
7,4,0,0
7,4,1,-0.050297130012266156
7,4,2,-0.050297130012266156
7,4,3,-0.050297130012266156
7,4,4,0.55672917040290337
7,4,5,-0.38435298981360888
7,5,0,1
7,5,1,-2.0510342851533115e-10
7,5,2,-2.0510342851533115e-10
7,5,3,-2.0510342851533115e-10
7,5,4,0.83022077600446642
7,5,5,0.2275240764591209
8,0,0,0.75815498398604642
8,0,1,0.48082893337440452
8,0,2,0.11815705027926773
8,0,3,-0.08259584048658665
8,0,4,0.089026642487249438
8,0,5,-0
8,1,0,0.36213748371351423
8,1,1,-0.53214959381928617
8,1,2,-0.13076839182489547
8,1,3,0.091411601695158037
8,1,4,-0.019901546183373409
8,1,5,0
8,2,0,-0
8,2,1,0.80532056025904031
8,2,2,0.51912790504621764
8,2,3,0.031417317372972625
8,2,4,0.013380036881807068
8,2,5,0
8,3,0,0
8,3,1,-0.74197939368356058
8,3,2,-0.74197939368356058
8,3,3,-0.74197939368356058
8,3,4,-0.11858430547509109
8,3,5,-0.23149414452432907
8,4,0,0
8,4,1,-0.67042268707806707
8,4,2,-0.67042268707806707
8,4,3,-0.67042268707806707
8,4,4,0.13124124940268106
8,4,5,-0.96756585671242767
8,5,0,1
8,5,1,-2.0510342851533115e-10
8,5,2,-2.0510342851533115e-10
8,5,3,-2.0510342851533115e-10
8,5,4,0.98423244050895486
8,5,5,0.1011275134436472
9,0,0,-0.35022981948698806
9,0,1,-0.21358270009805977
9,0,2,0.1125519885631171
9,0,3,0.058001792239259428
9,0,4,-0.088537127333383286
9,0,5,0
9,1,0,-0.042086276809302499
9,1,1,0.21575450986229977
9,1,2,-0.11369647009778183
9,1,3,-0.058591581801088477
9,1,4,-0.018253826497161871
9,1,5,0
9,2,0,0
9,2,1,0.27850801105771955
9,2,2,0.67806053157938917
9,2,3,0.11103758903928553
9,2,4,-0.018133254031303572
9,2,5,-0
9,3,0,0
9,3,1,0.71067460051336118
9,3,2,0.71067460051336118
9,3,3,0.71067460051336118
9,3,4,-0.24279238628806221
9,3,5,-0.13758097205150671
9,4,0,0
9,4,1,0.70352086833666461
9,4,2,0.70352086833666461
9,4,3,0.70352086833666461
9,4,4,0.24526121382625762
9,4,5,0.94902610803966614
9,5,0,1
9,5,1,-2.0510342851533115e-10
9,5,2,-2.0510342851533115e-10
9,5,3,-2.0510342851533115e-10
9,5,4,0.9385620885977759
9,5,5,-0.28358582896267276
10,0,0,0.093762470431839023
10,0,1,-0.028148450662552119
10,0,2,-0.32568406736739935
10,0,3,-0.033111086178068849
10,0,4,-0.017049146857371088
10,0,5,0
10,1,0,0.35151921928357788
10,1,1,0.045528268277802278
10,1,2,0.52677256748283097
10,1,3,0.053555005108540742
10,1,4,-0.036889697040480465
10,1,5,-0
10,2,0,-0
10,2,1,-0.2646051138936012
10,2,2,-0.031323135861162851
10,2,3,0.10281663951706906
10,2,4,-0.082760599585173164
10,2,5,0
10,3,0,0
10,3,1,0.85056362714564882
10,3,2,0.85056362714564882
10,3,3,0.8505636271456487
10,3,4,-0.50759025569943506
10,3,5,0.84152162183750323
10,4,0,0
10,4,1,0.5258721481280767
10,4,2,0.5258721481280767
10,4,3,0.52587214812807659
10,4,4,0.82099386755815518
10,4,5,0.40728972372660938
10,5,0,1
10,5,1,-2.0510342851533115e-10
